Game Title,Business Model,7-Day Rating Count,30-Day Rating Count,Discovery Momentum (%),Velocity (Ratings/Day),All-Time Rating,Recent Rating (7d),Recent Rating (30d)
Mortal Kombat™ 1,Game Pass,220,642,34.27,31.43,3.5,2.6,2.5
Street Fighter™ 6,Paid,3,19,15.79,0.43,3.6,1.3,3.3
