,Genre,has_gamepass_remediation,momentum_mean,momentum_std,momentum_median,discovery_capture_mean,discovery_capture_std,discovery_capture_median,quality_retention_mean,quality_retention_std,quality_retention_median,rating_7_days_avg_mean,rating_7_days_avg_std,rating_7_days_avg_median,rating_30_days_avg_mean,rating_30_days_avg_std,rating_30_days_avg_median,rating_alltime_avg_mean,rating_alltime_avg_std,rating_alltime_avg_median,rating_7_days_count_mean,rating_7_days_count_std,rating_7_days_count_median,rating_30_days_count_mean,rating_30_days_count_std,rating_30_days_count_median,rating_alltime_count_mean,rating_alltime_count_std,rating_alltime_count_median,game_count,momentum_genre_baseline,discovery_capture_baseline,quality_retention_baseline,momentum_diff_vs_baseline,momentum_pct_vs_baseline,discovery_capture_diff_vs_baseline,quality_retention_vs_baseline,quality_pct_vs_baseline,momentum_lift,discovery_lift,quality_lift
73,Adventure / Puzzle / Platformer,False,0.0,0.0,0.0,0.0,0.0,0.0,-4.45,0.07,-4.45,0.0,0.0,0.0,0.0,0.0,0.0,4.45,0.07,4.45,0.0,0.0,0.0,0.0,0.0,0.0,2716.5,655.49,2716.5,2,0.0,0.0,-4.45,0.0,,0.0,0.0,-0.0,0.0,0.0,4.45
74,Adventure / RPG,False,27.75,44.51,0.0,0.16,0.29,0.0,-1.18,2.66,-0.4,1.27,2.09,0.0,2.92,2.2,4.1,4.1,0.71,4.45,4.25,11.22,0.0,5.5,11.22,1.0,2399.0,1699.63,2739.5,8,27.75,0.0,-0.4,0.0,0.0,0.0,0.0,-0.0,-27.75,0.0,0.4
75,Adventure / RPG / Simulation,False,16.66,23.57,16.66,0.02,0.03,0.02,-0.35,2.05,-0.35,2.5,3.54,2.5,3.65,1.91,3.65,4.0,0.14,4.0,0.5,0.71,0.5,2.0,1.41,2.0,2222.5,54.45,2222.5,2,16.66,0.02,-0.35,0.0,0.0,0.0,0.0,-0.0,-16.66,-0.02,0.35
76,Adventure / Simulation,False,7.69,13.33,0.0,0.01,0.02,0.0,-0.63,2.05,-0.1,1.67,2.89,0.0,2.3,2.13,2.7,2.93,0.15,2.9,1.0,1.73,0.0,5.33,6.81,3.0,4167.0,3695.69,3230.0,3,7.69,0.0,-0.1,0.0,0.0,0.0,0.0,-0.0,-7.69,0.0,0.1
77,Adventure / Simulation / Puzzle,False,0.0,,0.0,0.0,,0.0,0.4,,0.4,0.0,,0.0,4.0,,4.0,3.6,,3.6,0.0,,0.0,1.0,,1.0,1564.0,,1564.0,1,0.0,0.0,0.4,0.0,,0.0,0.0,0.0,0.0,0.0,-0.4
78,Arcade,False,0.0,0.0,0.0,0.0,0.0,0.0,-1.93,2.37,-3.3,0.0,0.0,0.0,1.67,2.89,0.0,3.6,0.52,3.3,0.0,0.0,0.0,0.67,1.15,0.0,5142.0,4243.52,7592.0,3,0.0,0.0,-3.3,0.0,,0.0,0.0,-0.0,0.0,0.0,3.3
79,Baseball,False,100.0,0.0,100.0,0.03,0.0,0.03,1.7,0.0,1.7,5.0,0.0,5.0,5.0,0.0,5.0,3.3,0.0,3.3,1.0,0.0,1.0,1.0,0.0,1.0,3022.0,0.0,3022.0,2,100.0,0.03,1.7,0.0,0.0,0.0,0.0,0.0,-100.0,-0.03,-1.7
80,Beat-'Em-Up ,False,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,3.3,,3.3,3.3,,3.3,0.0,,0.0,9.0,,9.0,1443.0,,1443.0,1,20.84,0.14,0.7,-20.84,-100.0,-0.14,-0.7,-100.0,41.67,0.27,1.4
81,Beat-'Em-Up ,True,41.67,,41.67,0.27,,0.27,1.4,,1.4,3.4,,3.4,3.7,,3.7,2.3,,2.3,5.0,,5.0,12.0,,12.0,1833.0,,1833.0,1,20.84,0.14,0.7,20.830000000000002,99.95201535508637,0.13,0.7,100.0,41.67,0.27,1.4
82,Board,True,16.49,13.22,16.49,0.14,0.05,0.14,-0.75,1.2,-0.75,1.8,1.13,1.8,1.95,0.21,1.95,2.7,0.99,2.7,12.0,15.56,12.0,51.5,53.03,51.5,7340.5,8963.99,7340.5,2,16.49,0.14,-0.75,0.0,0.0,0.0,0.0,-0.0,16.49,0.14,-0.75
