,Genre,has_gamepass_remediation,momentum_mean,momentum_std,momentum_median,discovery_capture_mean,discovery_capture_std,discovery_capture_median,quality_retention_mean,quality_retention_std,quality_retention_median,rating_7_days_avg_mean,rating_7_days_avg_std,rating_7_days_avg_median,rating_30_days_avg_mean,rating_30_days_avg_std,rating_30_days_avg_median,rating_alltime_avg_mean,rating_alltime_avg_std,rating_alltime_avg_median,rating_7_days_count_mean,rating_7_days_count_std,rating_7_days_count_median,rating_30_days_count_mean,rating_30_days_count_std,rating_30_days_count_median,rating_alltime_count_mean,rating_alltime_count_std,rating_alltime_count_median,game_count,momentum_genre_baseline,discovery_capture_baseline,quality_retention_baseline,momentum_diff_vs_baseline,momentum_pct_vs_baseline,discovery_capture_diff_vs_baseline,quality_retention_vs_baseline,quality_pct_vs_baseline,momentum_lift,discovery_lift,quality_lift
120,Football,False,0.0,,0.0,0.0,,0.0,-3.2,,-3.2,0.0,,0.0,0.0,,0.0,3.2,,3.2,0.0,,0.0,0.0,,0.0,131.0,,131.0,1,0.0,0.0,-3.2,0.0,,0.0,0.0,-0.0,0.0,0.0,3.2
121,Golf,False,0.0,,0.0,0.0,,0.0,-1.4,,-1.4,0.0,,0.0,1.5,,1.5,2.9,,2.9,0.0,,0.0,2.0,,2.0,1743.0,,1743.0,1,0.0,0.0,-1.4,0.0,,0.0,0.0,-0.0,0.0,0.0,1.4
122,Horror,False,0.0,,0.0,0.0,,0.0,0.4,,0.4,0.0,,0.0,4.0,,4.0,3.6,,3.6,0.0,,0.0,2.0,,2.0,1243.0,,1243.0,1,0.0,0.0,0.4,0.0,,0.0,0.0,0.0,0.0,0.0,-0.4
123,MMORPG,False,0.0,,0.0,0.0,,0.0,-3.3,,-3.3,0.0,,0.0,0.0,,0.0,3.3,,3.3,0.0,,0.0,0.0,,0.0,600.0,,600.0,1,0.0,0.0,-3.3,0.0,,0.0,0.0,-0.0,0.0,0.0,3.3
124,MOBA,False,28.57,,28.57,0.01,,0.01,-1.1,,-1.1,1.5,,1.5,2.7,,2.7,3.8,,3.8,2.0,,2.0,7.0,,7.0,24714.0,,24714.0,1,28.57,0.01,-1.1,0.0,0.0,0.0,0.0,-0.0,-28.57,-0.01,1.1
125,Metroidvania,False,6.25,12.5,0.0,0.02,0.04,0.0,0.98,0.39,1.1,1.25,2.5,0.0,4.88,0.25,5.0,3.9,0.16,3.9,0.25,0.5,0.0,3.25,1.5,4.0,6574.5,5977.68,6615.5,4,6.25,0.0,1.1,0.0,0.0,0.0,0.0,0.0,-6.25,0.0,-1.1
126,Minigame Collection,True,23.53,,23.53,0.37,,0.37,0.1,,0.1,4.5,,4.5,4.6,,4.6,4.5,,4.5,4.0,,4.0,17.0,,17.0,1093.0,,1093.0,1,23.53,0.37,0.1,0.0,0.0,0.0,0.0,0.0,23.53,0.37,0.1
127,Minigame Collection / Platformer,True,30.0,,30.0,0.01,,0.01,0.0,,0.0,4.8,,4.8,4.6,,4.6,4.6,,4.6,12.0,,12.0,40.0,,40.0,90928.0,,90928.0,1,30.0,0.01,0.0,0.0,0.0,0.0,0.0,,30.0,0.01,0.0
128,Music/Rhythm,False,0.0,,0.0,0.0,,0.0,-4.4,,-4.4,0.0,,0.0,0.0,,0.0,4.4,,4.4,0.0,,0.0,0.0,,0.0,247.0,,247.0,1,0.0,0.0,-4.4,0.0,,0.0,0.0,-0.0,0.0,0.0,4.4
129,Party,False,0.0,,0.0,0.0,,0.0,2.3,,2.3,0.0,,0.0,5.0,,5.0,2.7,,2.7,0.0,,0.0,1.0,,1.0,982.0,,982.0,1,0.0,0.0,1.7,0.0,,0.0,0.5999999999999999,35.29411764705881,0.0,0.0,-1.1999999999999997
130,Party,True,0.0,,0.0,0.0,,0.0,1.1,,1.1,0.0,,0.0,5.0,,5.0,3.9,,3.9,0.0,,0.0,1.0,,1.0,1573.0,,1573.0,1,0.0,0.0,1.7,0.0,,0.0,-0.5999999999999999,-35.29411764705881,0.0,0.0,-1.1999999999999997
131,Pinball,False,33.33,,33.33,0.1,,0.1,1.2,,1.2,5.0,,5.0,5.0,,5.0,3.8,,3.8,1.0,,1.0,3.0,,3.0,1018.0,,1018.0,1,33.33,0.1,1.2,0.0,0.0,0.0,0.0,0.0,-33.33,-0.1,-1.2
132,Pinball / Action-Adventure,False,0.0,,0.0,0.0,,0.0,-3.7,,-3.7,0.0,,0.0,0.0,,0.0,3.7,,3.7,0.0,,0.0,0.0,,0.0,719.0,,719.0,1,0.0,0.0,-3.7,0.0,,0.0,0.0,-0.0,0.0,0.0,3.7
133,Pinball / Platformer,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.7,0.0,-0.7,0.0,0.0,0.0,4.0,0.0,4.0,4.7,0.0,4.7,0.0,0.0,0.0,4.0,0.0,4.0,1416.0,0.0,1416.0,4,0.0,0.0,-0.7,0.0,,0.0,0.0,-0.0,0.0,0.0,0.7
134,Plaformer,True,0.0,,0.0,0.0,,0.0,0.7,,0.7,0.0,,0.0,5.0,,5.0,4.3,,4.3,0.0,,0.0,3.0,,3.0,1134.0,,1134.0,1,0.0,0.0,0.7,0.0,,0.0,0.0,0.0,0.0,0.0,0.7
135,Platformer,False,27.88,27.46,22.22,0.08,0.12,0.07,-0.78,1.87,0.0,2.44,2.22,3.6,3.26,2.01,4.2,4.03,0.49,4.1,1.47,2.01,1.0,4.31,5.42,2.5,2164.56,1613.68,1668.5,36,25.45,0.06,0.0,2.4299999999999997,9.548133595284872,0.010000000000000009,0.0,,-7.579999999999998,-0.04000000000000001,0.0
136,Platformer,True,20.3,9.79,16.67,0.1,0.1,0.03,0.07,0.21,0.0,4.42,0.52,4.1,4.45,0.21,4.3,4.38,0.18,4.4,6.76,4.56,5.0,33.12,12.7,35.0,12348.35,6434.7,15674.0,17,25.45,0.06,0.0,-5.149999999999999,-20.235756385068758,-0.03,0.0,,-7.579999999999998,-0.04000000000000001,0.0
137,Platformer / Action-Adventure,False,17.03,16.91,16.25,0.1,0.17,0.04,-0.46,1.59,0.05,2.81,2.42,3.75,3.51,1.92,4.25,3.97,0.47,4.05,3.5,6.48,1.0,12.12,21.32,6.0,3247.62,3943.13,1260.5,8,22.15,0.06,0.2,-5.119999999999997,-23.11512415349886,-0.019999999999999997,-0.15000000000000002,-75.00000000000001,10.98,0.060000000000000005,0.15000000000000002
138,Platformer / Action-Adventure,True,28.01,13.48,24.62,0.13,0.12,0.1,0.26,0.36,0.2,4.53,0.5,4.7,4.64,0.11,4.7,4.39,0.41,4.5,21.43,33.96,14.0,84.43,134.17,33.0,15511.14,13787.91,12539.0,7,22.15,0.06,0.2,5.860000000000003,26.45598194130927,0.04000000000000001,0.0,0.0,10.98,0.060000000000000005,0.15000000000000002
139,Platformer / Shoot 'Em Up,False,0.0,,0.0,0.0,,0.0,-4.1,,-4.1,0.0,,0.0,0.0,,0.0,4.1,,4.1,0.0,,0.0,0.0,,0.0,162.0,,162.0,1,0.0,0.0,-4.1,0.0,,0.0,0.0,-0.0,0.0,0.0,4.1
140,Puzzle,False,18.78,30.7,0.0,0.04,0.08,0.0,-1.39,2.06,-0.3,1.32,2.01,0.0,2.39,2.2,3.4,3.78,0.54,4.0,0.87,1.8,0.0,2.42,4.64,1.0,1865.16,2068.6,1125.0,38,20.16,0.0,-0.2,-1.379999999999999,-6.8452380952380905,0.0,-0.09999999999999998,49.999999999999986,18.92,0.16,0.5
141,Puzzle,True,37.7,12.5,38.1,0.13,0.06,0.16,0.3,0.75,0.2,4.53,0.81,5.0,4.5,0.78,4.9,4.2,0.44,4.0,9.33,9.07,8.0,33.0,38.43,21.0,7856.67,6319.52,11100.0,3,20.16,0.0,-0.2,17.540000000000003,87.00396825396827,0.16,0.4,-200.0,18.92,0.16,0.5
142,Puzzle / Action-Adventure,False,0.0,0.0,0.0,0.0,0.0,0.0,-1.5,3.25,-1.5,0.0,0.0,0.0,2.4,3.39,2.4,3.9,0.14,3.9,0.0,0.0,0.0,2.0,2.83,2.0,1681.5,1033.08,1681.5,2,0.0,0.0,-1.5,0.0,,0.0,0.0,-0.0,0.0,0.0,1.5
143,Puzzle / Block-Breaking,False,36.36,0.0,36.36,0.21,0.0,0.21,0.8,0.0,0.8,5.0,0.0,5.0,5.0,0.0,5.0,4.2,0.0,4.2,4.0,0.0,4.0,11.0,0.0,11.0,1887.0,0.0,1887.0,2,36.36,0.21,0.8,0.0,0.0,0.0,0.0,0.0,-36.36,-0.21,-0.8
144,Puzzle / Pinball / Block-Breaking,False,0.0,,0.0,0.0,,0.0,-4.5,,-4.5,0.0,,0.0,0.0,,0.0,4.5,,4.5,0.0,,0.0,0.0,,0.0,120.0,,120.0,1,0.0,0.0,-4.5,0.0,,0.0,0.0,-0.0,0.0,0.0,4.5
145,Puzzle / Platformer,False,5.69,15.26,0.0,0.01,0.02,0.0,-2.23,2.39,-3.4,0.65,1.72,0.0,1.83,2.37,0.0,4.06,0.42,4.2,0.47,1.55,0.0,1.53,4.32,0.0,2149.0,3596.65,678.0,15,8.44,0.0,-2.4,-2.749999999999999,-32.58293838862558,0.0,-1.0,41.66666666666667,16.529999999999998,0.0,3.9
146,Puzzle / Platformer,True,22.22,9.62,16.67,0.03,0.05,0.0,0.13,0.64,0.5,5.0,0.0,5.0,4.37,0.58,4.7,4.23,0.06,4.2,1.0,0.0,1.0,5.0,1.73,6.0,15600.0,12491.55,22812.0,3,8.44,0.0,-2.4,13.78,163.27014218009478,0.0,2.9,-120.83333333333333,16.529999999999998,0.0,3.9
147,Puzzle / Platformer / Action-Adventure,False,18.18,20.99,18.18,0.06,0.07,0.06,0.65,0.4,0.65,2.3,2.66,2.3,4.95,0.06,4.95,4.3,0.35,4.3,4.0,4.62,4.0,13.0,10.39,13.0,3779.5,3080.16,3779.5,4,30.33,0.09,0.4,-12.149999999999999,-40.059347181008896,-0.03,0.25,62.5,36.45,0.04000000000000001,-0.55
148,Puzzle / Platformer / Action-Adventure,True,54.63,40.59,54.63,0.1,0.06,0.1,0.1,0.57,0.1,4.25,0.49,4.25,4.4,0.14,4.4,4.3,0.42,4.3,6.0,1.41,6.0,16.5,14.85,16.5,7526.5,5905.05,7526.5,2,30.33,0.09,0.4,24.300000000000004,80.11869436201783,0.010000000000000009,-0.30000000000000004,-75.00000000000001,36.45,0.04000000000000001,-0.55
149,RPG,False,13.05,18.01,0.0,0.07,0.1,0.0,-1.02,2.12,0.1,1.81,2.23,0.0,2.93,2.25,4.5,3.95,0.7,4.3,2.48,4.15,0.0,9.69,14.8,2.0,2357.66,4305.28,907.0,29,20.77,0.02,0.15,-7.719999999999999,-37.16899374097255,-0.02,-0.04999999999999999,-33.33333333333333,15.43,0.03,0.19999999999999998
150,RPG,True,28.48,26.97,25.0,0.18,0.32,0.03,-0.04,1.28,0.3,2.83,2.0,3.0,3.9,1.31,4.5,3.94,0.52,3.9,3.79,7.92,1.0,12.97,26.94,4.0,3781.41,6555.3,948.0,29,20.77,0.02,0.15,7.710000000000001,37.120847376023114,0.009999999999999998,0.15,100.0,15.43,0.03,0.19999999999999998
151,RPG / Action-Adventure,False,25.7,31.19,18.7,0.17,0.34,0.02,-0.91,1.74,-0.4,1.81,1.94,1.0,2.98,1.88,4.0,3.89,0.57,4.1,2.0,2.45,1.0,6.36,8.12,4.0,5095.36,10801.42,1200.0,14,26.27,0.04,-0.2,-0.5700000000000003,-2.16977540921203,-0.02,-0.2,100.0,1.879999999999999,0.12000000000000001,0.45
152,RPG / Action-Adventure,True,27.58,17.13,28.83,0.19,0.17,0.14,-0.57,1.75,0.05,3.47,1.8,4.0,3.63,1.82,4.35,4.2,0.18,4.25,13.33,10.44,13.0,42.83,38.38,29.0,7830.83,7603.72,4560.5,6,26.27,0.04,-0.2,1.3099999999999987,4.986676817662728,0.1,0.25,-125.0,1.879999999999999,0.12000000000000001,0.45
153,RPG / Brawler / Action-Adventure,False,37.3,26.12,28.57,0.19,0.13,0.19,0.77,0.42,0.9,4.5,0.87,5.0,4.63,0.64,5.0,3.87,0.25,3.9,1.67,0.58,2.0,5.33,2.08,6.0,1087.0,453.4,1054.0,3,37.3,0.19,0.9,0.0,0.0,0.0,0.0,0.0,-37.3,-0.19,-0.9
154,RPG / Card Game,False,45.0,21.21,45.0,0.14,0.02,0.14,0.2,0.42,0.2,4.85,0.21,4.85,4.1,0.42,4.1,3.9,0.0,3.9,3.0,0.0,3.0,7.5,3.54,7.5,2277.0,395.98,2277.0,2,45.0,0.14,0.2,0.0,0.0,0.0,0.0,0.0,-45.0,-0.14,-0.2
155,RPG / Card Game / Action-Adventure,False,35.29,,35.29,0.16,,0.16,0.3,,0.3,4.2,,4.2,4.7,,4.7,4.4,,4.4,6.0,,6.0,17.0,,17.0,3693.0,,3693.0,1,35.29,0.16,0.3,0.0,0.0,0.0,0.0,0.0,-35.29,-0.16,-0.3
156,RPG / Dual-Joystick Shooter / Action-Adventure,False,0.0,,0.0,0.0,,0.0,0.7,,0.7,0.0,,0.0,5.0,,5.0,4.3,,4.3,0.0,,0.0,1.0,,1.0,1195.0,,1195.0,1,0.0,0.0,0.7,0.0,,0.0,0.0,0.0,0.0,0.0,-0.7
157,RPG / First-Person Shooter,False,26.67,23.09,40.0,0.11,0.09,0.16,-0.2,0.52,-0.5,2.0,1.73,3.0,4.03,0.4,3.8,4.23,0.12,4.3,1.33,1.15,2.0,4.0,1.73,5.0,1376.67,200.34,1261.0,3,30.0,0.04,0.4,-3.3299999999999983,-11.099999999999994,0.12,-0.9,-225.0,8.329999999999998,-0.12,0.9
158,RPG / First-Person Shooter,True,35.0,21.21,35.0,0.04,0.01,0.04,0.4,0.0,0.4,4.5,0.71,4.5,4.0,1.13,4.0,3.6,1.13,3.6,2.0,1.41,2.0,5.5,0.71,5.5,6967.0,6474.27,6967.0,2,30.0,0.04,0.4,5.0,16.666666666666664,0.0,0.0,0.0,8.329999999999998,-0.12,0.9
159,RPG / First-Person Shooter / Action-Adventure,True,22.22,,22.22,0.05,,0.05,0.2,,0.2,4.8,,4.8,4.7,,4.7,4.5,,4.5,4.0,,4.0,18.0,,18.0,8095.0,,8095.0,1,22.22,0.05,0.2,0.0,0.0,0.0,0.0,0.0,22.22,0.05,0.2
160,RPG / Platformer / Action-Adventure,False,28.57,,28.57,0.06,,0.06,-0.2,,-0.2,3.0,,3.0,4.1,,4.1,4.3,,4.3,2.0,,2.0,7.0,,7.0,3156.0,,3156.0,1,28.57,0.06,-0.2,0.0,0.0,0.0,0.0,-0.0,-28.57,-0.06,0.2
161,RPG / Shooter,False,23.85,,23.85,0.22,,0.22,0.2,,0.2,4.8,,4.8,4.7,,4.7,4.5,,4.5,26.0,,26.0,109.0,,109.0,12010.0,,12010.0,1,25.28,0.02,-1.0,-1.4299999999999997,-5.6566455696202524,0.2,1.2,-120.0,1.7899999999999991,-0.2,-1.2
162,RPG / Shooter,True,25.64,6.5,22.39,0.05,0.06,0.02,-1.18,0.35,-1.0,3.3,0.2,3.4,3.1,0.2,3.2,4.28,0.15,4.2,61.75,93.5,15.0,193.0,252.0,67.0,99062.25,24528.5,86798.0,4,25.28,0.02,-1.0,0.35999999999999943,1.42405063291139,0.0,0.0,-0.0,1.7899999999999991,-0.2,-1.2
163,RPG / Shooter / Action-Adventure,False,0.0,,0.0,0.0,,0.0,-4.1,,-4.1,0.0,,0.0,0.0,,0.0,4.1,,4.1,0.0,,0.0,0.0,,0.0,767.0,,767.0,1,0.0,0.0,-4.1,0.0,,0.0,0.0,-0.0,0.0,0.0,4.1
164,RPG / Shooter / Compilation,False,23.85,,23.85,0.22,,0.22,0.2,,0.2,4.8,,4.8,4.7,,4.7,4.5,,4.5,26.0,,26.0,109.0,,109.0,12010.0,,12010.0,1,23.85,0.22,0.2,0.0,0.0,0.0,0.0,0.0,-23.85,-0.22,-0.2
165,RPG / Simulation,False,0.0,,0.0,0.0,,0.0,1.2,,1.2,0.0,,0.0,5.0,,5.0,3.8,,3.8,0.0,,0.0,1.0,,1.0,1972.0,,1972.0,1,0.0,0.0,1.2,0.0,,0.0,0.0,0.0,0.0,0.0,-1.2
166,RPG / Simulation / Action-Adventure,True,34.34,,34.34,0.36,,0.36,0.0,,0.0,3.7,,3.7,3.8,,3.8,3.8,,3.8,34.0,,34.0,99.0,,99.0,9499.0,,9499.0,1,34.34,0.36,0.0,0.0,0.0,0.0,0.0,,34.34,0.36,0.0
167,RPG / Simulation / First-Person Shooter,True,27.14,,27.14,0.14,,0.14,0.6,,0.6,3.8,,3.8,3.4,,3.4,2.8,,2.8,38.0,,38.0,140.0,,140.0,26988.0,,26988.0,1,27.14,0.14,0.6,0.0,0.0,0.0,0.0,0.0,27.14,0.14,0.6
168,RPG / Simulation / Fishing / Action-Adventure,True,34.44,,34.44,0.25,,0.25,-0.2,,-0.2,4.4,,4.4,4.5,,4.5,4.7,,4.7,31.0,,31.0,90.0,,90.0,12429.0,,12429.0,1,34.44,0.25,-0.2,0.0,0.0,0.0,0.0,-0.0,34.44,0.25,-0.2
169,RPG/Strategy,False,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,1.9,0.0,0.0,0.0,5.0,0.0,5.0,3.1,0.0,3.1,0.0,0.0,0.0,1.0,0.0,1.0,2969.0,0.0,2969.0,2,0.0,0.0,1.9,0.0,,0.0,0.0,0.0,0.0,0.0,-1.9
170,Racing,False,24.73,30.57,18.18,0.1,0.2,0.01,-0.61,2.12,0.4,2.37,2.25,3.0,3.17,2.12,4.2,3.78,0.61,3.95,5.31,21.41,1.0,20.81,85.89,2.5,9077.42,21613.7,1116.0,26,28.43,0.02,0.1,-3.6999999999999993,-13.014421385860004,-0.01,0.30000000000000004,300.00000000000006,9.360000000000003,0.060000000000000005,-0.8
171,Racing,True,34.09,27.21,35.48,0.08,0.09,0.07,-0.39,0.62,-0.4,2.61,1.66,3.5,3.09,1.05,3.2,3.49,0.53,3.6,3.94,4.22,3.0,13.94,18.18,8.0,5932.29,4617.5,4212.0,17,28.43,0.02,0.1,5.660000000000004,19.908547309180456,0.05,-0.5,-500.0,9.360000000000003,0.060000000000000005,-0.8
172,Real-Time Strategy,False,12.1,20.65,0.0,0.05,0.08,0.0,-0.67,1.71,0.2,1.57,2.43,0.0,3.03,2.38,4.1,3.7,0.73,3.9,1.5,2.81,0.0,7.0,12.0,2.5,1398.17,1782.94,700.0,6,12.1,0.0,0.2,0.0,0.0,0.0,0.0,0.0,-12.1,0.0,-0.2
173,Real-Time Strategy / Action-Adventure,True,43.9,,43.9,0.66,,0.66,0.1,,0.1,4.8,,4.8,4.8,,4.8,4.7,,4.7,18.0,,18.0,41.0,,41.0,2731.0,,2731.0,1,43.9,0.66,0.1,0.0,0.0,0.0,0.0,0.0,43.9,0.66,0.1
174,Sandbox,False,29.84,28.51,29.84,0.12,0.06,0.12,0.1,0.85,0.1,4.65,0.49,4.65,3.85,0.49,3.85,3.75,0.35,3.75,2.0,1.41,2.0,16.5,20.51,16.5,2254.0,2347.59,2254.0,2,22.32,0.05,0.5,7.52,33.69175627240143,0.06999999999999999,-0.4,-80.0,-11.280000000000001,-0.09,0.4
175,Sandbox,True,18.56,7.0,18.56,0.03,0.02,0.03,0.5,0.23,0.5,5.0,0.0,5.0,4.75,0.06,4.75,4.25,0.17,4.25,9.0,8.08,9.0,40.5,28.29,40.5,27563.5,4734.85,27563.5,4,22.32,0.05,0.5,-3.7600000000000016,-16.845878136200724,-0.020000000000000004,0.0,0.0,-11.280000000000001,-0.09,0.4
176,Shoot 'Em Up,False,75.0,35.36,75.0,0.15,0.04,0.15,-0.35,0.35,-0.35,3.5,0.71,3.5,3.75,1.06,3.75,4.1,0.71,4.1,1.0,0.0,1.0,1.5,0.71,1.5,690.0,189.5,690.0,2,50.0,0.12,-0.1,25.0,50.0,0.03,-0.24999999999999997,249.99999999999994,-75.0,-0.15,0.55
177,Shoot 'Em Up,True,0.0,,0.0,0.0,,0.0,0.2,,0.2,0.0,,0.0,5.0,,5.0,4.8,,4.8,0.0,,0.0,1.0,,1.0,58.0,,58.0,1,50.0,0.12,-0.1,-50.0,-100.0,-0.12,0.30000000000000004,-300.00000000000006,-75.0,-0.15,0.55
178,Shooter,False,25.07,23.79,22.89,0.43,2.33,0.08,-0.2,1.34,0.0,2.7,2.07,3.0,3.86,1.42,4.3,4.06,0.51,4.1,4.19,11.64,2.0,15.64,47.36,6.0,4770.08,10255.15,1359.0,73,24.62,0.06,0.0,0.4499999999999993,1.8277822908204682,0.020000000000000004,0.0,,-1.6400000000000006,-0.04,0.0
179,Shooter,True,23.43,8.98,22.91,0.08,0.1,0.04,-0.38,1.02,0.0,3.77,1.26,4.1,3.6,1.2,3.8,3.98,0.5,4.2,15.52,12.89,15.0,63.33,56.11,47.0,42585.15,42541.08,13038.0,27,24.62,0.06,0.0,-1.1900000000000013,-4.83346872461414,-0.019999999999999997,0.0,,-1.6400000000000006,-0.04,0.0
180,Shooter / Action-Adventure,False,20.1,28.04,0.0,0.25,0.34,0.0,-0.62,2.05,0.1,1.74,2.38,0.0,3.72,2.11,4.4,4.34,0.34,4.3,6.8,10.23,0.0,15.8,22.66,5.0,1783.8,1033.32,1327.0,5,20.59,0.04,0.1,-0.48999999999999844,-2.379796017484208,-0.04,0.0,0.0,2.979999999999997,0.09,0.30000000000000004
181,Shooter / Action-Adventure,True,23.08,,23.08,0.09,,0.09,0.4,,0.4,4.5,,4.5,4.5,,4.5,4.1,,4.1,6.0,,6.0,26.0,,26.0,6564.0,,6564.0,1,20.59,0.04,0.1,2.4899999999999984,12.093249150072843,0.049999999999999996,0.30000000000000004,300.00000000000006,2.979999999999997,0.09,0.30000000000000004
182,Shooter / Brawler / Action-Adventure,False,13.64,19.28,13.64,0.05,0.07,0.05,-2.25,2.9,-2.25,2.1,2.97,2.1,2.05,2.9,2.05,4.3,0.0,4.3,4.5,6.36,4.5,16.5,23.33,16.5,4903.5,6416.99,4903.5,2,13.64,0.05,-2.25,0.0,0.0,0.0,0.0,-0.0,-13.64,-0.05,2.25
183,Shooter / Compilation,False,0.0,,0.0,0.0,,0.0,0.6,,0.6,0.0,,0.0,5.0,,5.0,4.4,,4.4,0.0,,0.0,1.0,,1.0,6599.0,,6599.0,1,0.0,0.0,0.6,0.0,,0.0,0.0,0.0,0.0,0.0,-0.6
184,Shooter / First-Person Shooter,False,22.31,,22.31,0.09,,0.09,-0.1,,-0.1,3.2,,3.2,3.0,,3.0,3.1,,3.1,58.0,,58.0,260.0,,260.0,61524.0,,61524.0,1,22.31,0.09,-0.1,0.0,0.0,0.0,0.0,-0.0,-22.31,-0.09,0.1
185,Shooter / MOBA,False,0.0,,0.0,0.0,,0.0,0.5,,0.5,0.0,,0.0,5.0,,5.0,4.5,,4.5,0.0,,0.0,1.0,,1.0,390.0,,390.0,1,0.0,0.0,0.5,0.0,,0.0,0.0,0.0,0.0,0.0,-0.5
186,Shooter / Music/Rhythm,False,0.0,0.0,0.0,0.0,0.0,0.0,-2.2,0.0,-2.2,0.0,0.0,0.0,1.0,0.0,1.0,3.2,0.0,3.2,0.0,0.0,0.0,1.0,0.0,1.0,915.0,0.0,915.0,2,0.0,0.0,-2.2,0.0,,0.0,0.0,-0.0,0.0,0.0,2.2
187,Shooter / Platformer / Action-Adventure,True,36.94,2.53,36.94,0.04,0.02,0.04,-0.2,0.35,-0.2,4.4,0.46,4.4,4.35,0.4,4.35,4.55,0.06,4.55,21.0,13.86,21.0,59.0,41.57,59.0,43196.0,11834.53,43196.0,4,36.94,0.04,-0.2,0.0,0.0,0.0,0.0,-0.0,36.94,0.04,-0.2
188,Simulation,False,24.43,27.33,16.67,0.09,0.15,0.04,-0.57,1.63,0.3,1.9,2.1,1.0,3.18,1.8,4.0,3.75,0.35,3.7,1.46,1.96,1.0,4.32,4.64,3.0,2476.0,2927.33,1172.0,41,22.62,0.04,0.2,1.8099999999999987,8.001768346595926,0.0,0.09999999999999998,49.999999999999986,-7.09,0.07999999999999999,-0.25
189,Simulation,True,17.34,11.73,16.78,0.14,0.15,0.12,0.14,0.49,0.05,3.14,1.96,3.95,4.14,0.87,4.5,4.01,0.59,4.1,6.86,7.44,4.0,30.43,27.94,23.0,8168.71,9578.9,5094.0,14,22.62,0.04,0.2,-5.280000000000001,-23.342175066313,0.07999999999999999,-0.15000000000000002,-75.00000000000001,-7.09,0.07999999999999999,-0.25
190,Simulation / Fighting / Boxing,False,33.94,,33.94,0.64,,0.64,0.4,,0.4,4.6,,4.6,4.2,,4.2,3.8,,3.8,37.0,,37.0,109.0,,109.0,5786.0,,5786.0,1,33.94,0.64,0.4,0.0,0.0,0.0,0.0,0.0,-33.94,-0.64,-0.4
191,Simulation / First-Person Shooter,True,22.4,,22.4,0.6,,0.6,0.4,,0.4,4.0,,4.0,4.4,,4.4,4.0,,4.0,86.0,,86.0,384.0,,384.0,14361.0,,14361.0,1,22.4,0.6,0.4,0.0,0.0,0.0,0.0,0.0,22.4,0.6,0.4
192,Simulation / Flight Simulator,False,20.33,,20.33,0.06,,0.06,0.1,,0.1,3.4,,3.4,3.2,,3.2,3.1,,3.1,25.0,,25.0,123.0,,123.0,40018.0,,40018.0,1,20.33,0.06,0.1,0.0,0.0,0.0,0.0,0.0,-20.33,-0.06,-0.1
193,Simulation / Music/Rhythm,False,0.0,,0.0,0.0,,0.0,1.9,,1.9,0.0,,0.0,5.0,,5.0,3.1,,3.1,0.0,,0.0,1.0,,1.0,249.0,,249.0,1,0.0,0.0,1.9,0.0,,0.0,0.0,0.0,0.0,0.0,-1.9
194,Skateboarding,False,6.48,12.96,0.0,0.03,0.06,0.0,-1.12,2.26,-1.4,1.02,2.05,0.0,2.4,2.78,2.3,3.52,0.77,3.35,3.5,7.0,0.0,13.75,26.84,0.5,3295.5,4803.6,1191.0,4,6.48,0.0,-1.4,0.0,0.0,0.0,0.0,-0.0,-6.48,0.0,1.4
195,Soccer,False,11.11,19.24,0.0,0.04,0.06,0.0,1.63,0.74,1.9,1.67,2.89,0.0,4.67,0.58,5.0,3.03,0.21,3.1,0.33,0.58,0.0,2.67,1.53,3.0,1743.67,800.24,1795.0,3,11.11,0.0,1.9,0.0,0.0,0.0,0.0,0.0,-11.11,0.0,-1.9
196,Sports,False,13.73,31.66,0.0,0.25,1.03,0.0,-1.16,2.0,-1.7,0.86,1.72,0.0,1.89,2.1,0.75,3.06,0.69,3.0,0.55,1.23,0.0,4.1,10.26,0.5,1479.95,1341.82,1030.0,20,14.39,0.0,-0.65,-0.6600000000000001,-4.586518415566367,0.0,-1.0499999999999998,161.5384615384615,7.32,0.11,1.9
197,Sports,True,21.05,0.0,21.05,0.11,0.0,0.11,0.2,0.0,0.2,3.8,0.0,3.8,3.5,0.0,3.5,3.3,0.0,3.3,4.0,0.0,4.0,19.0,0.0,19.0,3578.0,0.0,3578.0,2,14.39,0.0,-0.65,6.66,46.282140375260596,0.11,0.8500000000000001,-130.76923076923077,7.32,0.11,1.9
198,Sports / Baseball,False,16.66,23.57,16.66,0.06,0.08,0.06,1.0,1.41,1.0,2.5,3.54,2.5,4.0,1.41,4.0,3.0,0.0,3.0,0.5,0.71,0.5,2.0,1.41,2.0,1982.0,1521.69,1982.0,2,16.66,0.06,1.0,0.0,0.0,0.0,0.0,0.0,-16.66,-0.06,-1.0
199,Sports / Basketball,False,0.0,0.0,0.0,0.0,0.0,0.0,-2.74,2.88,-3.8,0.0,0.0,0.0,1.0,2.24,0.0,3.74,0.84,3.8,0.0,0.0,0.0,0.2,0.45,0.0,3466.2,2779.65,4669.0,5,0.0,0.0,-3.8,0.0,,0.0,0.0,-0.0,0.0,0.0,3.8
