,publisher,has_gamepass_remediation,Unnamed: 2,momentum_mean,momentum_std,momentum_median,discovery_capture_mean,discovery_capture_std,discovery_capture_median,quality_retention_mean,quality_retention_std,quality_retention_median,rating_7_days_avg_mean,rating_7_days_avg_std,rating_7_days_avg_median,rating_30_days_avg_mean,rating_30_days_avg_std,rating_30_days_avg_median,rating_alltime_avg_mean,rating_alltime_avg_std,rating_alltime_avg_median,rating_7_days_count_mean,rating_7_days_count_std,rating_7_days_count_median,rating_30_days_count_mean,rating_30_days_count_std,rating_30_days_count_median,rating_alltime_count_mean,rating_alltime_count_std,rating_alltime_count_median,has_gamepass_remediation_sum,title_count,momentum_mean_baseline,discovery_capture_median_baseline,quality_retention_median_baseline,momentum_mean_diff_baseline,momentum_mean_diff_baseline_pct,discovery_capture_median_diff_baseline,discovery_capture_median_diff_baseline_pct,quality_retention_median_diff_baseline,quality_retention_median_diff_baseline_pct,momentum_lift,discovery_lift,quality_lift
33,BANDAI NAMCO Entertainment,False,39.271,22.979,30.0,0.125,0.067,0.11,0.288,0.574,0.3,4.225,1.344,4.7,4.188,0.429,4.05,3.9,0.566,3.9,5.125,6.728,3.0,16.375,22.765,9.0,5593.0,8741.472,2802.0,0.0,8.0,,39.27,0.11,0.3,-16.291000000000004,-41.48459383753502,0.178,161.8181818181818,3.925,1308.3333333333335,-22.979,-0.288,-4.225
34,BANDAI NAMCO Entertainment America Inc.,False,43.867,20.129,36.36,0.163,0.081,0.2,0.233,0.153,0.2,4.4,0.173,4.5,4.467,0.208,4.4,4.233,0.252,4.2,4.667,3.055,4.0,13.0,9.539,14.0,3391.333,2261.045,3687.0,0.0,3.0,,43.87,0.2,0.2,-23.740999999999996,-54.11670845680418,0.033,16.5,4.2,2100.0,-20.129,-0.233,-4.4
35,BANDAI NAMCO Entertainment Inc.,False,18.27,23.787,11.54,0.148,0.173,0.13,-0.45,2.589,0.6,2.3,2.676,2.1,3.7,2.468,4.9,4.15,0.342,4.2,1.75,2.872,0.5,7.25,12.527,1.5,719.0,761.725,453.0,0.0,4.0,,18.27,0.13,0.6,5.5169999999999995,30.197044334975367,-0.5800000000000001,-446.1538461538462,1.6999999999999997,283.3333333333333,-23.787,0.45,-2.3
36,Bandai Namco Entertainment America Inc.,False,6.25,12.5,0.0,0.005,0.01,0.0,-2.05,2.599,-2.2,1.0,2.0,0.0,1.7,2.272,1.0,3.75,0.823,3.8,0.25,0.5,0.0,1.25,1.893,0.5,1522.75,1734.762,1016.0,0.0,4.0,,11.15,0.0,-0.7,1.3499999999999996,12.107623318385647,-2.05,,1.7,-242.8571428571429,-12.5,2.65,3.8
37,Bandai Namco Entertainment America Inc.,True,30.77,,30.77,0.14,,0.14,0.6,,0.6,4.8,,4.8,4.4,,4.4,3.8,,3.8,4.0,,4.0,13.0,,13.0,2908.0,,2908.0,1.0,1.0,,11.15,0.0,-0.7,,,0.6,,5.5,-785.7142857142858,-12.5,2.65,3.8
38,Bandai Namco Entertainment Inc.,False,44.44,,44.44,0.11,,0.11,0.2,,0.2,4.0,,4.0,3.3,,3.3,3.1,,3.1,4.0,,4.0,9.0,,9.0,3621.0,,3621.0,0.0,1.0,,44.44,0.11,0.2,,,0.09000000000000001,81.81818181818183,3.8,1899.9999999999995,0.0,-0.2,-4.0
39,Beam Team Publishing,False,23.08,,23.08,0.04,,0.04,1.1,,1.1,5.0,,5.0,4.2,,4.2,3.1,,3.1,3.0,,3.0,13.0,,13.0,8241.0,,8241.0,0.0,1.0,,23.08,0.04,1.1,,,1.06,2650.0,3.9,354.5454545454545,0.0,-1.1,-5.0
40,Beamdog,True,21.43,0.0,21.43,0.39,0.0,0.39,-0.8,0.0,-0.8,2.7,0.0,2.7,3.1,0.0,3.1,3.9,0.0,3.9,3.0,0.0,3.0,14.0,0.0,14.0,772.0,0.0,772.0,3.0,3.0,,21.43,0.39,-0.8,-21.43,-100.0,-1.19,-305.1282051282051,3.5,-437.5,0.0,-0.8,2.7
41,Bedtime Digital Games,False,0.0,0.0,0.0,0.0,0.0,0.0,-1.8,3.677,-1.8,0.0,0.0,0.0,2.4,3.394,2.4,4.2,0.283,4.2,0.0,0.0,0.0,2.0,2.828,2.0,1125.0,246.073,1125.0,0.0,2.0,,0.0,0.0,-1.8,0.0,,-1.8,,1.8,-100.0,0.0,1.8,0.0
42,Behaviour Interactive Inc.,True,32.04,,32.04,0.3,,0.3,-0.2,,-0.2,3.1,,3.1,3.1,,3.1,3.3,,3.3,91.0,,91.0,284.0,,284.0,30220.0,,30220.0,1.0,1.0,,32.04,0.3,-0.2,,,-0.5,-166.66666666666669,3.3000000000000003,-1650.0,0.0,-0.2,3.1
43,Bethesda Softworks,False,0.0,0.0,0.0,0.0,0.0,0.0,-3.967,1.041,-4.3,0.0,0.0,0.0,0.0,0.0,0.0,3.967,1.041,4.3,0.0,0.0,0.0,0.0,0.0,0.0,355.0,540.226,85.0,0.0,3.0,,25.07,0.07,0.0,-25.07,-100.0,-4.037,-5767.142857142856,0.0,,24.057,3.508,3.081
44,Bethesda Softworks,True,27.419,24.057,25.0,0.131,0.161,0.08,-0.459,1.426,0.05,3.081,1.812,3.8,3.578,1.62,4.2,4.037,0.608,4.3,11.281,35.639,3.0,35.75,101.19,12.5,9455.906,24291.923,2557.0,32.0,32.0,,25.07,0.07,0.0,-1.0130000000000017,-4.040686078978866,-0.529,-755.7142857142857,3.081,,24.057,3.508,3.081
45,Big Ant Studios,False,0.0,,0.0,0.0,,0.0,-3.1,,-3.1,0.0,,0.0,0.0,,0.0,3.1,,3.1,0.0,,0.0,0.0,,0.0,523.0,,523.0,0.0,1.0,,0.0,0.0,-3.1,,,-3.1,,3.1,-100.0,0.0,3.1,0.0
