Genre,has_gamepass_remediation,momentum_mean,momentum_std,momentum_median,discovery_capture_mean,discovery_capture_std,discovery_capture_median,quality_retention_mean,quality_retention_std,quality_retention_median,rating_7_days_avg_mean,rating_7_days_avg_std,rating_7_days_avg_median,rating_30_days_avg_mean,rating_30_days_avg_std,rating_30_days_avg_median,rating_alltime_avg_mean,rating_alltime_avg_std,rating_alltime_avg_median,rating_7_days_count_mean,rating_7_days_count_std,rating_7_days_count_median,rating_30_days_count_mean,rating_30_days_count_std,rating_30_days_count_median,rating_alltime_count_mean,rating_alltime_count_std,rating_alltime_count_median,game_count
Strategy / RPG / Football,False,0.0,,0.0,0.0,,0.0,-2.5,,-2.5,0.0,,0.0,1.0,,1.0,3.5,,3.5,0.0,,0.0,1.0,,1.0,1640.0,,1640.0,1
Strategy / RPG / Real-Time Strategy,False,0.0,,0.0,0.0,,0.0,-3.0,,-3.0,0.0,,0.0,0.0,,0.0,3.0,,3.0,0.0,,0.0,0.0,,0.0,284.0,,284.0,1
Strategy / Real-Time Strategy,False,37.14,46.8,0.0,0.17,0.22,0.0,-2.07,2.27,-3.0,2.07,2.59,0.0,2.07,2.59,0.0,4.14,0.57,4.3,1.43,1.9,0.0,1.71,2.36,0.0,643.86,329.67,849.0,7
Strategy / Shooter,False,20.0,0.0,20.0,0.1,0.0,0.1,0.6,0.0,0.6,5.0,0.0,5.0,5.0,0.0,5.0,4.4,0.0,4.4,1.0,0.0,1.0,5.0,0.0,5.0,1002.0,0.0,1002.0,2
Strategy / Shooter / Action-Adventure,True,25.0,,25.0,0.01,,0.01,-0.5,,-0.5,5.0,,5.0,4.0,,4.0,4.5,,4.5,1.0,,1.0,4.0,,4.0,6791.0,,6791.0,1
Strategy / Simulation,False,17.8,31.34,0.0,0.08,0.22,0.0,-0.41,1.46,0.15,1.43,2.13,0.0,3.68,1.32,4.2,4.09,0.26,4.05,0.79,1.42,0.0,4.0,2.75,3.5,4178.57,3940.62,3154.0,14
Strategy / Simulation,True,13.25,16.28,9.84,0.06,0.07,0.04,0.57,0.33,0.7,2.35,2.72,2.2,4.88,0.25,5.0,4.3,0.12,4.3,6.25,11.84,0.5,31.75,60.17,2.0,7802.0,14103.36,768.0,4
Strategy / Sports / Simulation / Baseball,False,0.0,,0.0,0.0,,0.0,-3.5,,-3.5,0.0,,0.0,0.0,,0.0,3.5,,3.5,0.0,,0.0,0.0,,0.0,103.0,,103.0,1
Survival,False,36.57,21.16,50.0,0.15,0.18,0.12,-0.43,1.59,0.0,4.14,1.86,5.0,3.51,1.66,4.0,3.94,0.25,4.0,2.43,3.41,1.0,6.14,7.84,4.0,2197.86,1814.68,1678.0,7
Survival,True,15.38,0.0,15.38,0.03,0.0,0.03,0.1,0.0,0.1,4.5,0.0,4.5,3.8,0.0,3.8,3.7,0.0,3.7,2.0,0.0,2.0,13.0,0.0,13.0,6208.0,0.0,6208.0,2
Tower Defense,False,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,1.4,0.0,0.0,0.0,5.0,0.0,5.0,3.6,0.0,3.6,0.0,0.0,0.0,2.0,0.0,2.0,1302.0,0.0,1302.0,2
Trivia,True,12.5,,12.5,0.63,,0.63,-0.5,,-0.5,1.3,,1.3,1.9,,1.9,2.4,,2.4,3.0,,3.0,24.0,,24.0,476.0,,476.0,1
Trivia/Board Game / Minigame Collection,False,0.0,0.0,0.0,0.0,0.0,0.0,0.13,2.71,1.7,0.0,0.0,0.0,3.33,2.89,5.0,3.2,0.17,3.3,0.0,0.0,0.0,0.67,0.58,1.0,444.33,205.99,428.0,3
Vehicular Combat / Shooter / Real-Time Strategy,False,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.52,0.6,0.0,0.0,0.0,5.0,0.0,5.0,4.1,0.52,4.4,0.0,0.0,0.0,2.0,0.0,2.0,288.33,11.55,295.0,3
