Genre,has_gamepass_remediation,momentum_mean,momentum_std,momentum_median,discovery_capture_mean,discovery_capture_std,discovery_capture_median,quality_retention_mean,quality_retention_std,quality_retention_median,rating_7_days_avg_mean,rating_7_days_avg_std,rating_7_days_avg_median,rating_30_days_avg_mean,rating_30_days_avg_std,rating_30_days_avg_median,rating_alltime_avg_mean,rating_alltime_avg_std,rating_alltime_avg_median,rating_7_days_count_mean,rating_7_days_count_std,rating_7_days_count_median,rating_30_days_count_mean,rating_30_days_count_std,rating_30_days_count_median,rating_alltime_count_mean,rating_alltime_count_std,rating_alltime_count_median,game_count
RPG / Action-Adventure,True,27.58,17.13,28.83,0.19,0.17,0.14,-0.57,1.75,0.05,3.47,1.8,4.0,3.63,1.82,4.35,4.2,0.18,4.25,13.33,10.44,13.0,42.83,38.38,29.0,7830.83,7603.72,4560.5,6
RPG / Brawler / Action-Adventure,False,37.3,26.12,28.57,0.19,0.13,0.19,0.77,0.42,0.9,4.5,0.87,5.0,4.63,0.64,5.0,3.87,0.25,3.9,1.67,0.58,2.0,5.33,2.08,6.0,1087.0,453.4,1054.0,3
RPG / Card Game,False,45.0,21.21,45.0,0.14,0.02,0.14,0.2,0.42,0.2,4.85,0.21,4.85,4.1,0.42,4.1,3.9,0.0,3.9,3.0,0.0,3.0,7.5,3.54,7.5,2277.0,395.98,2277.0,2
RPG / Card Game / Action-Adventure,False,35.29,,35.29,0.16,,0.16,0.3,,0.3,4.2,,4.2,4.7,,4.7,4.4,,4.4,6.0,,6.0,17.0,,17.0,3693.0,,3693.0,1
RPG / Dual-Joystick Shooter / Action-Adventure,False,0.0,,0.0,0.0,,0.0,0.7,,0.7,0.0,,0.0,5.0,,5.0,4.3,,4.3,0.0,,0.0,1.0,,1.0,1195.0,,1195.0,1
RPG / First-Person Shooter,False,26.67,23.09,40.0,0.11,0.09,0.16,-0.2,0.52,-0.5,2.0,1.73,3.0,4.03,0.4,3.8,4.23,0.12,4.3,1.33,1.15,2.0,4.0,1.73,5.0,1376.67,200.34,1261.0,3
RPG / First-Person Shooter,True,35.0,21.21,35.0,0.04,0.01,0.04,0.4,0.0,0.4,4.5,0.71,4.5,4.0,1.13,4.0,3.6,1.13,3.6,2.0,1.41,2.0,5.5,0.71,5.5,6967.0,6474.27,6967.0,2
RPG / First-Person Shooter / Action-Adventure,True,22.22,,22.22,0.05,,0.05,0.2,,0.2,4.8,,4.8,4.7,,4.7,4.5,,4.5,4.0,,4.0,18.0,,18.0,8095.0,,8095.0,1
RPG / Platformer / Action-Adventure,False,28.57,,28.57,0.06,,0.06,-0.2,,-0.2,3.0,,3.0,4.1,,4.1,4.3,,4.3,2.0,,2.0,7.0,,7.0,3156.0,,3156.0,1
RPG / Shooter,False,23.85,,23.85,0.22,,0.22,0.2,,0.2,4.8,,4.8,4.7,,4.7,4.5,,4.5,26.0,,26.0,109.0,,109.0,12010.0,,12010.0,1
RPG / Shooter,True,25.64,6.5,22.39,0.05,0.06,0.02,-1.18,0.35,-1.0,3.3,0.2,3.4,3.1,0.2,3.2,4.28,0.15,4.2,61.75,93.5,15.0,193.0,252.0,67.0,99062.25,24528.5,86798.0,4
RPG / Shooter / Action-Adventure,False,0.0,,0.0,0.0,,0.0,-4.1,,-4.1,0.0,,0.0,0.0,,0.0,4.1,,4.1,0.0,,0.0,0.0,,0.0,767.0,,767.0,1
RPG / Shooter / Compilation,False,23.85,,23.85,0.22,,0.22,0.2,,0.2,4.8,,4.8,4.7,,4.7,4.5,,4.5,26.0,,26.0,109.0,,109.0,12010.0,,12010.0,1
RPG / Simulation,False,0.0,,0.0,0.0,,0.0,1.2,,1.2,0.0,,0.0,5.0,,5.0,3.8,,3.8,0.0,,0.0,1.0,,1.0,1972.0,,1972.0,1
RPG / Simulation / Action-Adventure,True,34.34,,34.34,0.36,,0.36,0.0,,0.0,3.7,,3.7,3.8,,3.8,3.8,,3.8,34.0,,34.0,99.0,,99.0,9499.0,,9499.0,1
RPG / Simulation / First-Person Shooter,True,27.14,,27.14,0.14,,0.14,0.6,,0.6,3.8,,3.8,3.4,,3.4,2.8,,2.8,38.0,,38.0,140.0,,140.0,26988.0,,26988.0,1
RPG / Simulation / Fishing / Action-Adventure,True,34.44,,34.44,0.25,,0.25,-0.2,,-0.2,4.4,,4.4,4.5,,4.5,4.7,,4.7,31.0,,31.0,90.0,,90.0,12429.0,,12429.0,1
RPG/Strategy,False,0.0,0.0,0.0,0.0,0.0,0.0,1.9,0.0,1.9,0.0,0.0,0.0,5.0,0.0,5.0,3.1,0.0,3.1,0.0,0.0,0.0,1.0,0.0,1.0,2969.0,0.0,2969.0,2
