Genre,momentum_median,momentum_mean,momentum_std,discovery_capture_median,discovery_capture_mean,quality_retention_median,quality_retention_mean,rating_7_days_count_mean,rating_7_days_count_std,rating_7_days_count_median,rating_30_days_count_mean,rating_30_days_count_std,rating_30_days_count_median,rating_alltime_count_mean,rating_alltime_count_std,rating_alltime_count_median,rating_alltime_avg_mean,rating_alltime_avg_std,rating_alltime_avg_median,rating_30_days_avg_mean,rating_30_days_avg_std,rating_30_days_avg_median,rating_7_days_avg_mean,rating_7_days_avg_std,rating_7_days_avg_median,rating_trend_7d_vs_alltime_mean,rating_trend_7d_vs_alltime_std,rating_trend_7d_vs_alltime_median,game_count
Puzzle,0.0,20.16,30.07,0.0,0.05,-0.2,-1.27,1.49,3.48,0.0,4.66,12.6,1.0,2303.56,2906.95,1146.0,3.81,0.54,4.0,2.54,2.19,3.6,1.55,2.12,0.0,-2.26,2.01,-3.3,41
Platformer / Shoot 'Em Up,0.0,0.0,,0.0,0.0,-4.1,-4.1,0.0,,0.0,0.0,,0.0,162.0,,162.0,4.1,,4.1,0.0,,0.0,0.0,,0.0,-4.1,,-4.1,1
Plaformer,0.0,0.0,,0.0,0.0,0.7,0.7,0.0,,0.0,3.0,,3.0,1134.0,,1134.0,4.3,,4.3,5.0,,5.0,0.0,,0.0,-4.3,,-4.3,1
Pinball / Platformer,0.0,0.0,0.0,0.0,0.0,-0.7,-0.7,0.0,0.0,0.0,4.0,0.0,4.0,1416.0,0.0,1416.0,4.7,0.0,4.7,4.0,0.0,4.0,0.0,0.0,0.0,-4.7,0.0,-4.7,4
Pinball / Action-Adventure,0.0,0.0,,0.0,0.0,-3.7,-3.7,0.0,,0.0,0.0,,0.0,719.0,,719.0,3.7,,3.7,0.0,,0.0,0.0,,0.0,-3.7,,-3.7,1
Party,0.0,0.0,0.0,0.0,0.0,1.7,1.7,0.0,0.0,0.0,1.0,0.0,1.0,1277.5,417.9,1277.5,3.3,0.85,3.3,5.0,0.0,5.0,0.0,0.0,0.0,-3.3,0.85,-3.3,2
Music/Rhythm,0.0,0.0,,0.0,0.0,-4.4,-4.4,0.0,,0.0,0.0,,0.0,247.0,,247.0,4.4,,4.4,0.0,,0.0,0.0,,0.0,-4.4,,-4.4,1
Metroidvania,0.0,6.25,12.5,0.0,0.02,1.1,0.98,0.25,0.5,0.0,3.25,1.5,4.0,6574.5,5977.68,6615.5,3.9,0.16,3.9,4.88,0.25,5.0,1.25,2.5,0.0,-2.65,2.37,-3.8,4
MMORPG,0.0,0.0,,0.0,0.0,-3.3,-3.3,0.0,,0.0,0.0,,0.0,600.0,,600.0,3.3,,3.3,0.0,,0.0,0.0,,0.0,-3.3,,-3.3,1
Horror,0.0,0.0,,0.0,0.0,0.4,0.4,0.0,,0.0,2.0,,2.0,1243.0,,1243.0,3.6,,3.6,4.0,,4.0,0.0,,0.0,-3.6,,-3.6,1
Football,0.0,0.0,,0.0,0.0,-3.2,-3.2,0.0,,0.0,0.0,,0.0,131.0,,131.0,3.2,,3.2,0.0,,0.0,0.0,,0.0,-3.2,,-3.2,1
Flight Simulator / Vehicular Combat,0.0,0.0,,0.0,0.0,0.5,0.5,0.0,,0.0,2.0,,2.0,679.0,,679.0,4.5,,4.5,5.0,,5.0,0.0,,0.0,-4.5,,-4.5,1
Fishing,0.0,0.0,,0.0,0.0,-1.4,-1.4,0.0,,0.0,1.0,,1.0,720.0,,720.0,3.4,,3.4,2.0,,2.0,0.0,,0.0,-3.4,,-3.4,1
Fighting / Puzzle / Platformer,0.0,0.0,,0.0,0.0,0.8,0.8,0.0,,0.0,1.0,,1.0,1107.0,,1107.0,4.2,,4.2,5.0,,5.0,0.0,,0.0,-4.2,,-4.2,1
Fighting / Baseball,0.0,0.0,,0.0,0.0,1.1,1.1,0.0,,0.0,2.0,,2.0,767.0,,767.0,3.9,,3.9,5.0,,5.0,0.0,,0.0,-3.9,,-3.9,1
Dual-Joystick Shooter / Platformer,0.0,0.0,0.0,0.0,0.0,-3.5,-3.5,0.0,0.0,0.0,0.0,0.0,0.0,469.0,0.0,469.0,3.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,-3.5,0.0,-3.5,2
Dual-Joystick Shooter,0.0,11.11,17.21,0.0,0.0,-2.05,-1.85,0.33,0.52,0.0,1.17,1.47,0.5,6862.33,9597.82,701.0,3.68,0.26,3.6,1.83,2.14,1.5,1.67,2.58,0.0,-2.02,2.66,-3.45,6
Driving/Racing / Platformer,0.0,0.0,0.0,0.0,0.0,-1.5,-1.5,0.0,0.0,0.0,0.5,0.71,0.5,125.0,22.63,125.0,4.0,0.14,4.0,2.5,3.54,2.5,0.0,0.0,0.0,-4.0,0.14,-4.0,2
Defense,0.0,0.0,,0.0,0.0,0.4,0.4,0.0,,0.0,12.0,,12.0,215.0,,215.0,3.7,,3.7,4.1,,4.1,0.0,,0.0,-3.7,,-3.7,1
Compilation,0.0,30.71,42.48,0.0,0.15,-2.6,-2.17,1.33,2.6,0.0,3.56,7.09,1.0,1437.89,2406.49,573.0,4.21,0.53,4.4,2.04,1.73,2.0,1.22,1.72,0.0,-2.99,1.79,-3.9,9
Vehicular Combat / Shooter / Real-Time Strategy,0.0,0.0,0.0,0.0,0.0,0.6,0.9,0.0,0.0,0.0,2.0,0.0,2.0,288.33,11.55,295.0,4.1,0.52,4.4,5.0,0.0,5.0,0.0,0.0,0.0,-4.1,0.52,-4.4,3
