Genre,momentum_median,momentum_mean,momentum_std,discovery_capture_median,discovery_capture_mean,quality_retention_median,quality_retention_mean,rating_7_days_count_mean,rating_7_days_count_std,rating_7_days_count_median,rating_30_days_count_mean,rating_30_days_count_std,rating_30_days_count_median,rating_alltime_count_mean,rating_alltime_count_std,rating_alltime_count_median,rating_alltime_avg_mean,rating_alltime_avg_std,rating_alltime_avg_median,rating_30_days_avg_mean,rating_30_days_avg_std,rating_30_days_avg_median,rating_7_days_avg_mean,rating_7_days_avg_std,rating_7_days_avg_median,rating_trend_7d_vs_alltime_mean,rating_trend_7d_vs_alltime_std,rating_trend_7d_vs_alltime_median,game_count
Action / Flight Simulator,26.74,26.74,6.39,0.12,0.12,0.55,0.55,5.5,0.71,5.5,21.5,7.78,21.5,4669.0,659.02,4669.0,3.35,0.35,3.35,3.9,0.28,3.9,4.0,0.0,4.0,0.65,0.35,0.65,2
Fighting,26.67,31.16,25.64,0.09,0.15,0.2,0.12,2.9,4.69,1.0,10.51,23.59,4.0,3237.0,8852.8,1091.0,4.04,0.46,4.0,4.16,1.03,4.5,2.66,2.05,2.2,-1.38,2.25,-0.6,39
First-Person Shooter,26.59,27.3,24.76,0.08,0.1,0.05,-0.34,7.62,16.18,3.0,26.32,59.16,10.5,9850.79,18239.46,3370.0,4.08,0.64,4.15,3.74,1.53,4.3,2.88,1.96,3.45,-1.2,1.87,-0.25,34
Sports / Driving/Racing,26.47,42.16,51.81,0.03,0.08,1.3,1.1,9.33,15.31,1.0,36.0,57.19,5.0,5510.0,6028.54,3413.0,3.43,0.47,3.6,4.53,0.42,4.4,3.1,2.71,4.3,-0.33,2.27,0.5,3
Driving/Racing / Vehicular Combat / Soccer,25.72,25.72,,0.12,0.12,-0.9,-0.9,178.0,,178.0,692.0,,692.0,148048.0,,148048.0,4.1,,4.1,3.2,,3.2,2.8,,2.8,-1.3,,-1.3,1
Driving/Racing / Shooter / Vehicular Combat,25.61,25.61,,0.13,0.13,0.0,0.0,21.0,,21.0,82.0,,82.0,16410.0,,16410.0,4.5,,4.5,4.5,,4.5,4.6,,4.6,0.1,,0.1,1
Sports / Fishing,25.0,25.0,35.36,0.1,0.1,-1.5,-1.5,3.0,4.24,3.0,6.0,8.49,6.0,1731.5,1734.53,1731.5,3.2,0.42,3.2,1.7,2.4,1.7,1.75,2.47,1.75,-1.45,2.05,-1.45,2
Action-Adventure / RPG / Brawler,25.0,25.0,,0.19,0.19,-0.1,-0.1,2.0,,2.0,8.0,,8.0,1027.0,,1027.0,4.3,,4.3,4.2,,4.2,4.0,,4.0,-0.3,,-0.3,1
Strategy / Shooter / Action-Adventure,25.0,25.0,,0.01,0.01,-0.5,-0.5,1.0,,1.0,4.0,,4.0,6791.0,,6791.0,4.5,,4.5,4.0,,4.0,5.0,,5.0,0.5,,0.5,1
Action / Dual-Joystick Shooter,25.0,25.0,35.36,0.1,0.1,-0.25,-0.25,0.5,0.71,0.5,1.5,0.71,1.5,2851.0,3295.12,2851.0,4.25,0.35,4.25,4.0,1.41,4.0,0.5,0.71,0.5,-3.75,0.35,-3.75,2
Action / Adventure / Platformer,25.0,25.0,,0.14,0.14,2.4,2.4,1.0,,1.0,4.0,,4.0,703.0,,703.0,2.4,,2.4,4.8,,4.8,5.0,,5.0,2.6,,2.6,1
Racing,24.94,28.43,29.32,0.02,0.09,0.1,-0.52,4.77,16.73,1.0,18.09,67.3,4.0,7834.0,16988.53,1996.0,3.67,0.59,3.8,3.14,1.76,3.5,2.46,2.02,3.0,-1.2,1.84,-1.1,43
Platformer / Action-Adventure,24.62,22.15,15.91,0.06,0.12,0.2,-0.13,11.87,24.52,3.0,45.87,96.62,11.0,8970.6,11373.36,2844.0,4.17,0.47,4.2,4.04,1.48,4.6,3.61,1.95,4.6,-0.55,1.69,0.1,15
Brawler,24.39,31.3,35.95,0.04,0.08,0.35,-0.43,7.33,13.11,2.5,30.67,49.27,9.0,7698.83,7510.43,6999.0,4.15,0.35,4.1,3.72,1.85,4.5,3.58,1.82,4.05,-0.57,1.95,0.25,6
RPG / Shooter / Compilation,23.85,23.85,,0.22,0.22,0.2,0.2,26.0,,26.0,109.0,,109.0,12010.0,,12010.0,4.5,,4.5,4.7,,4.7,4.8,,4.8,0.3,,0.3,1
Action / First-Person Shooter / Vehicular Combat,23.58,23.58,13.13,0.16,0.16,0.6,0.6,23.5,31.82,23.5,73.5,94.05,73.5,9678.5,11721.71,9678.5,3.7,0.71,3.7,4.3,0.99,4.3,4.35,0.92,4.35,0.65,0.21,0.65,2
Action / Brawler,23.53,17.91,15.86,0.05,0.08,0.4,0.23,6.67,8.33,4.0,23.67,26.63,17.0,5535.0,4662.23,7411.0,4.33,0.21,4.4,4.57,0.49,4.8,3.3,2.86,4.9,-1.03,3.01,0.5,3
Minigame Collection,23.53,23.53,,0.37,0.37,0.1,0.1,4.0,,4.0,17.0,,17.0,1093.0,,1093.0,4.5,,4.5,4.6,,4.6,4.5,,4.5,0.0,,0.0,1
Flight Simulator,23.08,23.08,,0.33,0.33,0.7,0.7,6.0,,6.0,26.0,,26.0,1836.0,,1836.0,4.1,,4.1,4.8,,4.8,4.2,,4.2,0.1,,0.1,1
Shooter,22.91,24.62,20.81,0.06,0.33,0.0,-0.25,7.25,12.95,2.0,28.52,53.96,7.0,14980.15,28921.75,2116.0,4.04,0.5,4.2,3.79,1.37,4.25,2.98,1.94,3.4,-1.05,1.81,-0.35,100
Card Game / Minigame Collection,22.56,22.56,,0.14,0.14,0.2,0.2,2955.0,,2955.0,13096.0,,13096.0,2144670.0,,2144670.0,4.7,,4.7,4.9,,4.9,4.8,,4.8,0.1,,0.1,1
RPG / Action-Adventure,22.5,26.27,27.27,0.04,0.17,-0.2,-0.8,5.4,7.82,2.5,17.3,26.96,6.5,5916.0,9833.43,1519.0,3.98,0.51,4.2,3.18,1.84,4.0,2.31,2.01,3.3,-1.67,1.96,-0.85,20
Simulation / First-Person Shooter,22.4,22.4,,0.6,0.6,0.4,0.4,86.0,,86.0,384.0,,384.0,14361.0,,14361.0,4.0,,4.0,4.4,,4.4,4.0,,4.0,0.0,,0.0,1
RPG / Shooter,22.39,25.28,5.68,0.02,0.09,-1.0,-0.9,54.6,82.54,15.0,176.2,221.45,67.0,81651.8,44349.23,86798.0,4.32,0.16,4.2,3.42,0.74,3.2,3.6,0.69,3.4,-0.72,0.65,-0.8,5
Shooter / First-Person Shooter,22.31,22.31,,0.09,0.09,-0.1,-0.1,58.0,,58.0,260.0,,260.0,61524.0,,61524.0,3.1,,3.1,3.0,,3.0,3.2,,3.2,0.1,,0.1,1
RPG / First-Person Shooter / Action-Adventure,22.22,22.22,,0.05,0.05,0.2,0.2,4.0,,4.0,18.0,,18.0,8095.0,,8095.0,4.5,,4.5,4.7,,4.7,4.8,,4.8,0.3,,0.3,1
Platformer,22.22,25.45,23.45,0.06,0.08,0.0,-0.51,3.17,3.92,2.0,13.55,15.93,5.0,5431.06,6125.57,3051.0,4.14,0.44,4.2,3.64,1.75,4.3,3.08,2.07,4.0,-1.07,1.9,-0.3,53
RPG,21.43,20.77,24.02,0.02,0.12,0.15,-0.53,3.14,6.3,1.0,11.33,21.61,4.0,3069.53,5543.45,927.5,3.95,0.61,4.15,3.42,1.89,4.5,2.32,2.16,2.7,-1.63,2.22,-1.2,58
Beat-'Em-Up ,20.84,20.84,29.47,0.14,0.14,0.7,0.7,2.5,3.54,2.5,10.5,2.12,10.5,1638.0,275.77,1638.0,2.8,0.71,2.8,3.5,0.28,3.5,1.7,2.4,1.7,-1.1,3.11,-1.1,2
Simulation / Flight Simulator,20.33,20.33,,0.06,0.06,0.1,0.1,25.0,,25.0,123.0,,123.0,40018.0,,40018.0,3.1,,3.1,3.2,,3.2,3.4,,3.4,0.3,,0.3,1
Action-Adventure,20.0,22.31,24.02,0.06,0.12,0.2,-0.35,4.51,8.71,2.0,16.89,33.65,7.0,5605.14,10812.52,1849.0,3.97,0.54,4.1,3.62,1.64,4.3,2.56,2.21,3.4,-1.41,2.02,-0.6,233
Action / Shooter / Brawler,20.0,20.0,,0.36,0.36,-0.5,-0.5,2.0,,2.0,10.0,,10.0,549.0,,549.0,4.2,,4.2,3.7,,3.7,3.0,,3.0,-1.2,,-1.2,1
Strategy / Shooter,20.0,20.0,0.0,0.1,0.1,0.6,0.6,1.0,0.0,1.0,5.0,0.0,5.0,1002.0,0.0,1002.0,4.4,0.0,4.4,5.0,0.0,5.0,5.0,0.0,5.0,0.6,0.0,0.6,2
Action / Strategy,20.0,34.0,42.19,0.06,0.04,-2.3,-1.58,0.6,0.55,1.0,1.6,2.07,1.0,1111.2,661.58,1241.0,3.78,0.33,3.6,2.2,2.28,2.0,1.8,2.05,2.0,-1.98,2.09,-2.3,5
Adventure / Minigame Collection,20.0,20.0,,0.01,0.01,0.1,0.1,3.0,,3.0,15.0,,15.0,51953.0,,51953.0,4.7,,4.7,4.8,,4.8,5.0,,5.0,0.3,,0.3,1
Action,18.82,32.36,36.17,0.03,0.29,0.1,-0.39,3.41,11.05,1.0,11.41,37.27,2.0,3044.77,4859.63,1115.5,3.82,0.55,3.85,3.43,1.86,4.1,2.31,2.18,2.75,-1.51,2.06,-1.2,74
Sandbox,18.56,22.32,15.03,0.05,0.06,0.5,0.37,6.67,7.26,2.5,32.5,26.79,23.5,19127.0,13615.15,23463.0,4.08,0.33,4.1,4.45,0.52,4.7,4.88,0.29,5.0,0.8,0.17,0.85,6
Driving/Racing,17.82,17.77,21.65,0.01,0.07,0.25,-0.86,7.03,20.0,1.0,27.94,80.38,3.5,70548.38,358174.94,2310.5,3.75,0.53,3.8,2.89,2.06,3.9,2.35,2.16,3.1,-1.4,2.13,-0.65,32
Simulation,16.67,22.62,24.42,0.04,0.1,0.2,-0.39,2.84,4.67,1.0,10.96,18.32,5.0,3925.05,5890.67,1424.0,3.81,0.43,3.8,3.42,1.67,4.0,2.22,2.12,1.8,-1.6,2.04,-1.6,55
Action / Shooter,16.67,16.18,16.01,0.07,0.09,0.1,-0.61,3.52,5.32,1.0,12.88,16.51,5.0,4445.24,4531.2,2420.0,4.08,0.4,4.0,3.47,1.82,4.0,2.68,2.3,3.7,-1.4,2.21,-0.1,25
Sports / Baseball,16.66,16.66,23.57,0.06,0.06,1.0,1.0,0.5,0.71,0.5,2.0,1.41,2.0,1982.0,1521.69,1982.0,3.0,0.0,3.0,4.0,1.41,4.0,2.5,3.54,2.5,-0.5,3.54,-0.5,2
Action / Shoot 'Em Up,16.66,16.66,23.57,0.06,0.06,-1.95,-1.95,0.5,0.71,0.5,1.5,2.12,1.5,526.0,554.37,526.0,4.45,0.21,4.45,2.5,3.54,2.5,2.5,3.54,2.5,-1.95,3.32,-1.95,2
Adventure / RPG / Simulation,16.66,16.66,23.57,0.02,0.02,-0.35,-0.35,0.5,0.71,0.5,2.0,1.41,2.0,2222.5,54.45,2222.5,4.0,0.14,4.0,3.65,1.91,3.65,2.5,3.54,2.5,-1.5,3.39,-1.5,2
Board,16.49,16.49,13.22,0.14,0.14,-0.75,-0.75,12.0,15.56,12.0,51.5,53.03,51.5,7340.5,8963.99,7340.5,2.7,0.99,2.7,1.95,0.21,1.95,1.8,1.13,1.8,-0.9,2.12,-0.9,2
Action / RPG / Action-Adventure,15.91,17.74,19.8,0.08,0.09,0.1,-0.1,4.0,3.79,6.0,19.14,14.26,12.0,4634.43,1815.39,3723.0,3.86,0.46,4.0,3.76,0.49,3.6,2.19,2.11,2.8,-1.67,1.85,-0.8,7
Action / First-Person Shooter,14.29,38.26,43.11,0.18,0.66,0.3,-0.06,2.4,2.5,1.0,8.4,6.64,7.0,1182.5,1032.65,721.0,3.87,0.38,4.0,3.81,1.39,4.2,3.91,1.53,4.2,0.04,1.71,0.3,10
Shooter / Brawler / Action-Adventure,13.64,13.64,19.28,0.05,0.05,-2.25,-2.25,4.5,6.36,4.5,16.5,23.33,16.5,4903.5,6416.99,4903.5,4.3,0.0,4.3,2.05,2.9,2.05,2.1,2.97,2.1,-2.2,2.97,-2.2,2
Action / Platformer / Action-Adventure,12.5,12.5,,0.06,0.06,0.3,0.3,1.0,,1.0,8.0,,8.0,1605.0,,1605.0,4.6,,4.6,4.9,,4.9,5.0,,5.0,0.4,,0.4,1
Trivia,12.5,12.5,,0.63,0.63,-0.5,-0.5,3.0,,3.0,24.0,,24.0,476.0,,476.0,2.4,,2.4,1.9,,1.9,1.3,,1.3,-1.1,,-1.1,1
First-Person Shooter / Vehicular Combat,12.5,12.5,,0.13,0.13,0.5,0.5,2.0,,2.0,16.0,,16.0,1585.0,,1585.0,4.3,,4.3,4.8,,4.8,3.5,,3.5,-0.8,,-0.8,1
Shooter / Action-Adventure,11.54,20.59,25.11,0.04,0.22,0.1,-0.45,6.67,9.16,3.0,17.5,20.7,12.0,2580.5,2159.3,1573.5,4.3,0.32,4.25,3.85,1.91,4.45,2.2,2.41,2.1,-2.1,2.51,-2.05,6
Action / Simulation / Shooter,11.11,11.11,,0.04,0.04,1.1,1.1,2.0,,2.0,18.0,,18.0,4914.0,,4914.0,3.3,,3.3,4.4,,4.4,3.0,,3.0,-0.3,,-0.3,1
Adventure,11.11,18.95,24.75,0.01,0.08,0.15,-0.62,2.71,6.2,1.0,11.19,23.81,3.5,5392.53,12726.15,1826.0,4.06,0.49,4.2,3.43,1.97,4.4,2.44,2.33,3.15,-1.61,2.27,-0.85,106
Sports / Snowboarding/Skiing,10.52,10.52,12.15,0.06,0.06,0.2,0.2,2.0,2.31,2.0,11.0,9.24,11.0,2304.0,1471.09,2304.0,3.7,0.46,3.7,3.9,0.46,3.9,1.9,2.19,1.9,-1.8,2.66,-1.8,4
Strategy / RPG / Action-Adventure,10.52,10.52,14.88,0.16,0.16,-1.7,-1.7,2.0,2.83,2.0,9.5,13.44,9.5,1087.0,216.37,1087.0,3.35,0.21,3.35,1.65,2.33,1.65,2.5,3.54,2.5,-0.85,3.32,-0.85,2
Action / RPG,9.09,17.43,20.08,0.04,0.07,-0.1,-0.9,3.13,4.97,1.0,13.16,21.02,5.0,3182.1,3889.18,1640.0,3.72,0.58,3.8,2.82,1.91,3.5,2.25,2.15,3.0,-1.47,1.98,-0.7,31
Action / Shooter / Platformer,8.33,8.33,0.0,0.06,0.06,0.5,0.5,2.0,0.0,2.0,24.0,0.0,24.0,3545.0,0.0,3545.0,4.2,0.0,4.2,4.7,0.0,4.7,4.5,0.0,4.5,0.3,0.0,0.3,2
Adventure / Compilation / Puzzle,7.14,7.14,,0.04,0.04,0.3,0.3,1.0,,1.0,14.0,,14.0,2850.0,,2850.0,4.2,,4.2,4.5,,4.5,5.0,,5.0,0.8,,0.8,1
Strategy / Real-Time Strategy,0.0,37.14,46.8,0.0,0.17,-3.0,-2.07,1.43,1.9,0.0,1.71,2.36,0.0,643.86,329.67,849.0,4.14,0.57,4.3,2.07,2.59,0.0,2.07,2.59,0.0,-2.07,2.27,-3.0,7
Strategy / RPG / Real-Time Strategy,0.0,0.0,,0.0,0.0,-3.0,-3.0,0.0,,0.0,0.0,,0.0,284.0,,284.0,3.0,,3.0,0.0,,0.0,0.0,,0.0,-3.0,,-3.0,1
Strategy / RPG / Card Game,0.0,0.0,,0.0,0.0,1.7,1.7,0.0,,0.0,1.0,,1.0,782.0,,782.0,3.3,,3.3,5.0,,5.0,0.0,,0.0,-3.3,,-3.3,1
Strategy / Simulation,0.0,16.79,28.31,0.0,0.08,0.3,-0.19,2.0,5.64,0.0,10.17,28.03,3.0,4983.78,7026.97,1669.0,4.14,0.25,4.15,3.94,1.26,4.35,1.63,2.22,0.0,-2.51,2.28,-3.95,18
Strategy / Sports / Simulation / Baseball,0.0,0.0,,0.0,0.0,-3.5,-3.5,0.0,,0.0,0.0,,0.0,103.0,,103.0,3.5,,3.5,0.0,,0.0,0.0,,0.0,-3.5,,-3.5,1
Strategy / RPG / Football,0.0,0.0,,0.0,0.0,-2.5,-2.5,0.0,,0.0,1.0,,1.0,1640.0,,1640.0,3.5,,3.5,1.0,,1.0,0.0,,0.0,-3.5,,-3.5,1
Tower Defense,0.0,0.0,0.0,0.0,0.0,1.4,1.4,0.0,0.0,0.0,2.0,0.0,2.0,1302.0,0.0,1302.0,3.6,0.0,3.6,5.0,0.0,5.0,0.0,0.0,0.0,-3.6,0.0,-3.6,2
Real-Time Strategy,0.0,12.1,20.65,0.0,0.05,0.2,-0.67,1.5,2.81,0.0,7.0,12.0,2.5,1398.17,1782.94,700.0,3.7,0.73,3.9,3.03,2.38,4.1,1.57,2.43,0.0,-2.13,2.24,-2.85,6
Trivia/Board Game / Minigame Collection,0.0,0.0,0.0,0.0,0.0,1.7,0.13,0.0,0.0,0.0,0.67,0.58,1.0,444.33,205.99,428.0,3.2,0.17,3.3,3.33,2.89,5.0,0.0,0.0,0.0,-3.2,0.17,-3.3,3
Sports / Basketball,0.0,0.0,0.0,0.0,0.0,-3.8,-2.74,0.0,0.0,0.0,0.2,0.45,0.0,3466.2,2779.65,4669.0,3.74,0.84,3.8,1.0,2.24,0.0,0.0,0.0,0.0,-3.74,0.84,-3.8,5
Strategy / RPG,0.0,13.0,19.45,0.0,0.03,-2.6,-1.55,0.47,0.64,0.0,1.67,1.91,1.0,1557.87,1517.38,928.0,3.67,0.66,3.8,2.11,2.19,2.0,1.73,2.4,0.0,-1.93,2.63,-3.3,15
Shooter / Compilation,0.0,0.0,,0.0,0.0,0.6,0.6,0.0,,0.0,1.0,,1.0,6599.0,,6599.0,4.4,,4.4,5.0,,5.0,0.0,,0.0,-4.4,,-4.4,1
Sports / Simulation / Soccer,0.0,0.0,,0.0,0.0,-3.1,-3.1,0.0,,0.0,0.0,,0.0,1070.0,,1070.0,3.1,,3.1,0.0,,0.0,0.0,,0.0,-3.1,,-3.1,1
Sports,0.0,14.39,30.19,0.0,0.24,-0.65,-1.04,0.86,1.55,0.0,5.45,10.7,1.0,1670.68,1417.79,1203.5,3.08,0.66,3.1,2.04,2.05,2.15,1.13,1.85,0.0,-1.95,1.9,-2.35,22
Sports / Fighting,0.0,6.25,12.5,0.0,0.01,-4.0,-2.98,0.75,1.5,0.0,3.0,6.0,0.0,10180.75,770.5,10566.0,3.52,0.95,4.0,0.55,1.1,0.0,0.75,1.5,0.0,-2.78,2.45,-4.0,4
Sports / Football,0.0,0.0,0.0,0.0,0.0,-2.3,-1.8,0.0,0.0,0.0,0.6,0.89,0.0,7797.8,8442.51,3029.0,3.4,0.89,3.5,1.6,2.3,0.0,0.0,0.0,0.0,-3.4,0.89,-3.5,5
Soccer,0.0,11.11,19.24,0.0,0.04,1.9,1.63,0.33,0.58,0.0,2.67,1.53,3.0,1743.67,800.24,1795.0,3.03,0.21,3.1,4.67,0.58,5.0,1.67,2.89,0.0,-1.37,2.75,-2.8,3
Skateboarding,0.0,6.48,12.96,0.0,0.03,-1.4,-1.12,3.5,7.0,0.0,13.75,26.84,0.5,3295.5,4803.6,1191.0,3.52,0.77,3.35,2.4,2.78,2.3,1.02,2.05,0.0,-2.5,1.36,-3.0,4
Simulation / Music/Rhythm,0.0,0.0,,0.0,0.0,1.9,1.9,0.0,,0.0,1.0,,1.0,249.0,,249.0,3.1,,3.1,5.0,,5.0,0.0,,0.0,-3.1,,-3.1,1
Stealth,0.0,12.5,25.0,0.0,0.02,-3.6,-2.38,0.25,0.5,0.0,0.5,1.0,0.0,595.25,344.5,423.0,3.62,0.05,3.6,1.25,2.5,0.0,1.25,2.5,0.0,-2.38,2.45,-3.6,4
Sports / Cricket,0.0,0.0,,0.0,0.0,-3.2,-3.2,0.0,,0.0,0.0,,0.0,1753.0,,1753.0,3.2,,3.2,0.0,,0.0,0.0,,0.0,-3.2,,-3.2,1
Strategy,0.0,18.08,30.65,0.0,0.09,0.0,-0.73,1.49,4.92,0.0,6.81,21.65,1.0,3191.33,7638.79,1002.0,3.72,0.76,3.8,2.98,2.07,3.8,1.62,2.15,0.0,-2.09,2.06,-2.95,72
Strategy / Adventure / Simulation,0.0,0.0,0.0,0.0,0.0,-0.25,-0.25,0.0,0.0,0.0,1.0,0.0,1.0,467.0,651.95,467.0,3.75,0.78,3.75,3.5,0.71,3.5,0.0,0.0,0.0,-3.75,0.78,-3.75,2
Strategy / Card Game,0.0,6.25,12.5,0.0,0.03,-3.2,-2.55,0.75,1.5,0.0,3.0,6.0,0.0,995.0,1254.43,538.0,3.72,0.72,3.8,1.18,2.35,0.0,1.25,2.5,0.0,-2.48,2.05,-3.2,4
Shooter / Music/Rhythm,0.0,0.0,0.0,0.0,0.0,-2.2,-2.2,0.0,0.0,0.0,1.0,0.0,1.0,915.0,0.0,915.0,3.2,0.0,3.2,1.0,0.0,1.0,0.0,0.0,0.0,-3.2,0.0,-3.2,2
Shooter / MOBA,0.0,0.0,,0.0,0.0,0.5,0.5,0.0,,0.0,1.0,,1.0,390.0,,390.0,4.5,,4.5,5.0,,5.0,0.0,,0.0,-4.5,,-4.5,1
Strategy / Puzzle / Platformer,0.0,0.0,0.0,0.0,0.0,-3.5,-3.5,0.0,0.0,0.0,0.0,0.0,0.0,1104.0,0.0,1104.0,3.5,0.0,3.5,0.0,0.0,0.0,0.0,0.0,0.0,-3.5,0.0,-3.5,2
Sports / Hockey,0.0,0.0,0.0,0.0,0.0,-2.3,-2.48,0.0,0.0,0.0,0.0,0.0,0.0,1935.6,713.59,1879.0,2.48,0.41,2.3,0.0,0.0,0.0,0.0,0.0,0.0,-2.48,0.41,-2.3,5
Golf,0.0,0.0,,0.0,0.0,-1.4,-1.4,0.0,,0.0,2.0,,2.0,1743.0,,1743.0,2.9,,2.9,1.5,,1.5,0.0,,0.0,-2.9,,-2.9,1
RPG/Strategy,0.0,0.0,0.0,0.0,0.0,1.9,1.9,0.0,0.0,0.0,1.0,0.0,1.0,2969.0,0.0,2969.0,3.1,0.0,3.1,5.0,0.0,5.0,0.0,0.0,0.0,-3.1,0.0,-3.1,2
Brawler / Platformer / Action-Adventure,0.0,0.0,0.0,0.0,0.0,1.05,0.95,0.0,0.0,0.0,2.75,1.5,3.0,6313.25,6284.09,6468.5,4.05,0.24,3.95,5.0,0.0,5.0,0.0,0.0,0.0,-4.05,0.24,-3.95,4
Arcade,0.0,0.0,0.0,0.0,0.0,-3.3,-1.93,0.0,0.0,0.0,0.67,1.15,0.0,5142.0,4243.52,7592.0,3.6,0.52,3.3,1.67,2.89,0.0,0.0,0.0,0.0,-3.6,0.52,-3.3,3
Adventure / Simulation / Puzzle,0.0,0.0,,0.0,0.0,0.4,0.4,0.0,,0.0,1.0,,1.0,1564.0,,1564.0,3.6,,3.6,4.0,,4.0,0.0,,0.0,-3.6,,-3.6,1
Adventure / Simulation,0.0,7.69,13.33,0.0,0.01,-0.1,-0.63,1.0,1.73,0.0,5.33,6.81,3.0,4167.0,3695.69,3230.0,2.93,0.15,2.9,2.3,2.13,2.7,1.67,2.89,0.0,-1.27,2.74,-2.8,3
Adventure / RPG,0.0,27.75,44.51,0.0,0.16,-0.4,-1.18,4.25,11.22,0.0,5.5,11.22,1.0,2399.0,1699.63,2739.5,4.1,0.71,4.45,2.92,2.2,4.1,1.27,2.09,0.0,-2.82,1.86,-3.6,8
Adventure / Puzzle / Platformer,0.0,0.0,0.0,0.0,0.0,-4.45,-4.45,0.0,0.0,0.0,0.0,0.0,0.0,2716.5,655.49,2716.5,4.45,0.07,4.45,0.0,0.0,0.0,0.0,0.0,0.0,-4.45,0.07,-4.45,2
Adventure / Puzzle,0.0,20.51,34.13,0.0,0.08,-3.0,-1.9,0.62,1.19,0.0,1.46,2.3,0.0,2439.69,2912.24,1451.0,4.08,0.45,4.2,2.18,2.46,0.0,1.46,2.3,0.0,-2.62,2.31,-3.7,13
Adventure / Fishing,0.0,0.0,,0.0,0.0,-0.3,-0.3,0.0,,0.0,6.0,,6.0,2346.0,,2346.0,2.6,,2.6,2.3,,2.3,0.0,,0.0,-2.6,,-2.6,1
Action / Strategy / Real-Time Strategy,0.0,0.0,,0.0,0.0,0.2,0.2,0.0,,0.0,5.0,,5.0,1008.0,,1008.0,4.2,,4.2,4.4,,4.4,0.0,,0.0,-4.2,,-4.2,1
Action / Strategy / RPG,0.0,33.33,57.74,0.0,0.03,-3.4,-2.37,0.33,0.58,0.0,0.33,0.58,0.0,457.67,569.91,156.0,4.03,0.6,4.1,1.67,2.89,0.0,1.67,2.89,0.0,-2.37,2.89,-3.4,3
Action / Strategy / Fighting / MOBA,0.0,0.0,,0.0,0.0,1.9,1.9,0.0,,0.0,1.0,,1.0,577.0,,577.0,3.1,,3.1,5.0,,5.0,0.0,,0.0,-3.1,,-3.1,1
