publisher,has_gamepass_remediation,momentum_mean,discovery_capture_mean,quality_retention_mean,rating_7_days_avg_mean,rating_7_days_avg_std,rating_7_days_avg_median,rating_30_days_avg_mean,rating_30_days_avg_std,rating_30_days_avg_median,rating_alltime_avg_mean,rating_alltime_avg_std,rating_alltime_avg_median,rating_7_days_count_mean,rating_7_days_count_std,rating_7_days_count_median,rating_30_days_count_mean,rating_30_days_count_std,rating_30_days_count_median,rating_alltime_count_mean,rating_alltime_count_std,rating_alltime_count_median,has_gamepass_remediation_sum,title_count
Annapurna Interactive,True,37.5,0.235,-0.45,3.1,0.424,3.1,3.55,0.636,3.55,4.0,0.566,4.0,6.5,0.707,6.5,20.0,11.314,20.0,2979.0,1052.175,2979.0,2.0,2.0
Another Indie,False,100.0,0.12,-1.8,1.0,,1.0,1.0,,1.0,2.8,,2.8,1.0,,1.0,1.0,,1.0,850.0,,850.0,0.0,1.0
Another Indie Studio,False,0.0,0.0,-3.0,0.0,,0.0,0.0,,0.0,3.0,,3.0,0.0,,0.0,0.0,,0.0,145.0,,145.0,0.0,1.0
Arc Games,False,9.828,0.022,-0.24,1.98,2.711,0.0,3.28,2.022,4.3,3.52,0.526,3.7,1.8,3.033,0.0,8.2,12.029,3.0,4059.8,3846.336,1960.0,0.0,5.0
Aspyr,False,16.667,0.047,-1.3,3.333,2.887,5.0,2.533,2.194,3.8,3.833,0.981,4.4,0.667,0.577,1.0,2.667,2.309,4.0,1119.0,708.409,1528.0,0.0,3.0
Aspyr Media,False,16.667,0.085,-3.2,0.833,2.041,0.0,0.833,2.041,0.0,4.033,0.455,4.3,0.167,0.408,0.0,0.167,0.408,0.0,1184.5,490.947,1425.0,0.0,6.0
Asteroid Base Inc.,False,33.33,0.04,0.8,5.0,,5.0,5.0,,5.0,4.2,,4.2,1.0,,1.0,3.0,,3.0,2511.0,,2511.0,0.0,1.0
Asymmetric Publications,False,100.0,0.65,-3.5,1.0,,1.0,1.0,,1.0,4.5,,4.5,1.0,,1.0,1.0,,1.0,153.0,,153.0,0.0,1.0
"Atari, Digital Eclipse",False,0.0,0.0,-3.3,0.0,0.0,0.0,0.0,0.0,0.0,3.3,0.0,3.3,0.0,0.0,0.0,0.0,0.0,0.0,7592.0,0.0,7592.0,0.0,4.0
Avalanche Studios,True,38.947,0.327,0.3,3.867,0.321,4.0,3.967,0.513,4.1,3.667,0.289,3.5,36.0,43.589,16.0,144.0,208.192,36.0,8787.333,5705.798,9043.0,3.0,3.0
Awaken Realms Digital,False,60.0,0.15,-0.1,4.7,,4.7,3.8,,3.8,3.9,,3.9,3.0,,3.0,5.0,,5.0,1997.0,,1997.0,0.0,1.0
BANDAI NAMCO Entertainment,False,39.271,0.125,0.288,4.225,1.344,4.7,4.188,0.429,4.05,3.9,0.566,3.9,5.125,6.728,3.0,16.375,22.765,9.0,5593.0,8741.472,2802.0,0.0,8.0
BANDAI NAMCO Entertainment America Inc.,False,43.867,0.163,0.233,4.4,0.173,4.5,4.467,0.208,4.4,4.233,0.252,4.2,4.667,3.055,4.0,13.0,9.539,14.0,3391.333,2261.045,3687.0,0.0,3.0
BANDAI NAMCO Entertainment Inc.,False,18.27,0.148,-0.45,2.3,2.676,2.1,3.7,2.468,4.9,4.15,0.342,4.2,1.75,2.872,0.5,7.25,12.527,1.5,719.0,761.725,453.0,0.0,4.0
Bandai Namco Entertainment America Inc.,False,6.25,0.005,-2.05,1.0,2.0,0.0,1.7,2.272,1.0,3.75,0.823,3.8,0.25,0.5,0.0,1.25,1.893,0.5,1522.75,1734.762,1016.0,0.0,4.0
Bandai Namco Entertainment America Inc.,True,30.77,0.14,0.6,4.8,,4.8,4.4,,4.4,3.8,,3.8,4.0,,4.0,13.0,,13.0,2908.0,,2908.0,1.0,1.0
Bandai Namco Entertainment Inc.,False,44.44,0.11,0.2,4.0,,4.0,3.3,,3.3,3.1,,3.1,4.0,,4.0,9.0,,9.0,3621.0,,3621.0,0.0,1.0
Beam Team Publishing,False,23.08,0.04,1.1,5.0,,5.0,4.2,,4.2,3.1,,3.1,3.0,,3.0,13.0,,13.0,8241.0,,8241.0,0.0,1.0
Beamdog,True,21.43,0.39,-0.8,2.7,0.0,2.7,3.1,0.0,3.1,3.9,0.0,3.9,3.0,0.0,3.0,14.0,0.0,14.0,772.0,0.0,772.0,3.0,3.0
Bedtime Digital Games,False,0.0,0.0,-1.8,0.0,0.0,0.0,2.4,3.394,2.4,4.2,0.283,4.2,0.0,0.0,0.0,2.0,2.828,2.0,1125.0,246.073,1125.0,0.0,2.0
Behaviour Interactive Inc.,True,32.04,0.3,-0.2,3.1,,3.1,3.1,,3.1,3.3,,3.3,91.0,,91.0,284.0,,284.0,30220.0,,30220.0,1.0,1.0
Bethesda Softworks,False,0.0,0.0,-3.967,0.0,0.0,0.0,0.0,0.0,0.0,3.967,1.041,4.3,0.0,0.0,0.0,0.0,0.0,0.0,355.0,540.226,85.0,0.0,3.0
Bethesda Softworks,True,27.419,0.131,-0.459,3.081,1.812,3.8,3.578,1.62,4.2,4.037,0.608,4.3,11.281,35.639,3.0,35.75,101.19,12.5,9455.906,24291.923,2557.0,32.0,32.0
Big Ant Studios,False,0.0,0.0,-3.1,0.0,,0.0,0.0,,0.0,3.1,,3.1,0.0,,0.0,0.0,,0.0,523.0,,523.0,0.0,1.0
Big Ant Studios PTY,False,0.0,0.0,-4.0,0.0,,0.0,0.0,,0.0,4.0,,4.0,0.0,,0.0,0.0,,0.0,1609.0,,1609.0,0.0,1.0
Big Cheese Studio,True,30.0,0.13,-0.3,1.3,,1.3,2.5,,2.5,2.8,,2.8,3.0,,3.0,10.0,,10.0,2365.0,,2365.0,1.0,1.0
Big Sugar Games,False,0.0,0.0,-3.0,0.0,,0.0,0.0,,0.0,3.0,,3.0,0.0,,0.0,0.0,,0.0,1268.0,,1268.0,0.0,1.0
Bigben,False,50.0,0.07,2.6,5.0,,5.0,5.0,,5.0,2.4,,2.4,1.0,,1.0,2.0,,2.0,1416.0,,1416.0,0.0,1.0
Bigben Interactive,False,15.0,0.014,-1.1,0.6,1.578,0.0,2.23,1.769,2.0,3.33,0.704,3.55,0.2,0.422,0.0,1.1,0.876,1.0,1556.5,737.557,1767.0,0.0,10.0
Billy Goat Entertainment Ltd,False,0.0,0.0,-3.3,0.0,,0.0,0.0,,0.0,3.3,,3.3,0.0,,0.0,0.0,,0.0,485.0,,485.0,0.0,1.0
Bitmap Bureau Ltd.,False,0.0,0.0,-3.5,0.0,,0.0,0.0,,0.0,3.5,,3.5,0.0,,0.0,0.0,,0.0,695.0,,695.0,0.0,1.0
Black Forest Games GmbH,False,66.67,0.11,1.2,5.0,0.0,5.0,5.0,0.0,5.0,3.8,0.0,3.8,2.0,0.0,2.0,3.0,0.0,3.0,1903.0,0.0,1903.0,0.0,2.0
BlackMill Games ,False,30.77,0.12,0.8,4.8,,4.8,4.4,,4.4,3.6,,3.6,4.0,,4.0,13.0,,13.0,3345.0,,3345.0,0.0,1.0
Blackbird Interactive,False,20.0,0.05,1.2,5.0,,5.0,5.0,,5.0,3.8,,3.8,1.0,,1.0,5.0,,5.0,1987.0,,1987.0,0.0,1.0
Blizzard Entertainment,False,29.9,10.02,0.1,3.5,0.707,3.5,4.3,0.0,4.3,4.2,0.566,4.2,5.0,5.657,5.0,18.5,21.92,18.5,11175.0,15796.765,11175.0,0.0,2.0
Blizzard Entertainment,True,40.0,0.35,0.2,2.0,,2.0,3.2,,3.2,3.0,,3.0,2.0,,2.0,5.0,,5.0,573.0,,573.0,1.0,1.0
Bloober Team NA,False,60.0,0.04,0.0,2.7,,2.7,3.4,,3.4,3.4,,3.4,3.0,,3.0,5.0,,5.0,6839.0,,6839.0,0.0,1.0
Bloober Team S.A.,False,26.47,0.01,0.1,4.9,,4.9,4.6,,4.6,4.5,,4.5,9.0,,9.0,34.0,,34.0,122037.0,,122037.0,0.0,1.0
Blue Sunset Games,False,0.0,0.0,-3.5,0.0,,0.0,0.0,,0.0,3.5,,3.5,0.0,,0.0,0.0,,0.0,64.0,,64.0,0.0,1.0
Bohemia Interactive a.s.,True,27.14,0.14,0.6,3.8,,3.8,3.4,,3.4,2.8,,2.8,38.0,,38.0,140.0,,140.0,26988.0,,26988.0,1.0,1.0
Boneloaf,True,26.56,0.16,0.5,4.1,,4.1,4.4,,4.4,3.9,,3.9,34.0,,34.0,128.0,,128.0,21166.0,,21166.0,1.0,1.0
Born Ready Games,False,0.0,0.0,-2.7,0.0,,0.0,0.0,,0.0,2.7,,2.7,0.0,,0.0,0.0,,0.0,5859.0,,5859.0,0.0,1.0
Bossa Studios,False,53.33,0.05,-2.0,1.8,,1.8,1.5,,1.5,3.5,,3.5,8.0,,8.0,15.0,,15.0,15818.0,,15818.0,0.0,1.0
Brave At Night,False,0.0,0.0,-3.2,0.0,,0.0,0.0,,0.0,3.2,,3.2,0.0,,0.0,0.0,,0.0,508.0,,508.0,0.0,1.0
Broken Rules,False,0.0,0.0,1.3,0.0,,0.0,5.0,,5.0,3.7,,3.7,0.0,,0.0,2.0,,2.0,1451.0,,1451.0,0.0,1.0
Bulkhead Interactive,False,0.0,0.0,-0.2,0.0,0.0,0.0,4.0,0.0,4.0,4.2,0.0,4.2,0.0,0.0,0.0,1.0,0.0,1.0,3158.0,0.0,3158.0,0.0,4.0
Butterscotch Shenanigans,False,100.0,0.18,1.3,5.0,,5.0,5.0,,5.0,3.7,,3.7,1.0,,1.0,1.0,,1.0,543.0,,543.0,0.0,1.0
CAPCOM,False,0.0,0.0,-4.5,0.0,,0.0,0.0,,0.0,4.5,,4.5,0.0,,0.0,0.0,,0.0,291.0,,291.0,0.0,1.0
"CAPCOM CO,. LTD.",False,43.48,0.53,0.1,4.0,,4.0,4.4,,4.4,4.3,,4.3,10.0,,10.0,23.0,,23.0,1877.0,,1877.0,0.0,1.0
"CAPCOM CO., LTD.",False,33.769,1.508,-0.511,3.411,1.934,4.1,3.779,1.633,4.4,4.289,0.515,4.3,7.158,11.819,2.0,20.789,36.89,9.0,2707.789,4491.515,549.0,0.0,19.0
"CAPCOM Co., Ltd.",False,25.0,0.09,-0.4,1.0,0.0,1.0,4.0,0.0,4.0,4.4,0.0,4.4,1.0,0.0,1.0,4.0,0.0,4.0,1091.0,0.0,1091.0,0.0,4.0
CD PROJEKT RED,False,52.5,0.152,-0.12,4.6,0.894,5.0,3.84,0.358,4.0,3.96,0.089,4.0,2.6,1.342,2.0,4.8,1.789,4.0,1703.0,55.902,1678.0,0.0,5.0
Campo Santo,True,27.62,0.22,0.1,4.9,,4.9,4.7,,4.7,4.6,,4.6,50.0,,50.0,181.0,,181.0,23150.0,,23150.0,1.0,1.0
Capcom,False,28.702,0.345,0.617,4.167,2.041,5.0,4.883,0.24,5.0,4.267,0.197,4.3,1.333,1.366,1.0,4.5,3.564,3.0,1318.333,1428.597,616.5,0.0,6.0
"Capcom Co., LTD.",False,20.0,0.04,1.0,5.0,,5.0,5.0,,5.0,4.0,,4.0,1.0,,1.0,5.0,,5.0,2844.0,,2844.0,0.0,1.0
"Capcom Entertainment, Inc.",False,40.0,0.4,-2.12,0.8,0.447,1.0,1.56,0.313,1.7,3.68,0.045,3.7,2.4,1.342,3.0,5.0,2.236,6.0,499.8,212.874,595.0,0.0,5.0
"Capcom U.S.A., Inc",False,54.444,0.356,-0.44,3.72,0.716,3.4,3.76,0.537,4.0,4.2,0.0,4.2,4.4,1.342,5.0,8.2,0.447,8.0,1372.4,385.498,1200.0,0.0,5.0
Capy,False,0.0,0.0,-2.5,0.0,,0.0,1.0,,1.0,3.5,,3.5,0.0,,0.0,1.0,,1.0,790.0,,790.0,0.0,1.0
Cellar Door Games,False,66.67,0.31,1.1,5.0,,5.0,5.0,,5.0,3.9,,3.9,2.0,,2.0,3.0,,3.0,651.0,,651.0,0.0,1.0
Chainsawesome Games,False,100.0,0.02,1.6,5.0,0.0,5.0,5.0,0.0,5.0,3.4,0.0,3.4,1.0,0.0,1.0,1.0,0.0,1.0,4888.0,0.0,4888.0,0.0,4.0
Cherry Pop Games,False,0.0,0.0,-2.9,0.0,,0.0,0.0,,0.0,2.9,,2.9,0.0,,0.0,0.0,,0.0,5113.0,,5113.0,0.0,1.0
Chorus Worldwide Games,False,0.0,0.0,0.26,0.0,0.0,0.0,4.2,1.789,5.0,3.94,0.358,4.1,0.0,0.0,0.0,4.2,1.789,5.0,4995.4,2454.308,6093.0,0.0,5.0
Chromatic Games,False,0.0,0.0,-0.4,0.0,,0.0,3.0,,3.0,3.4,,3.4,0.0,,0.0,2.0,,2.0,468.0,,468.0,0.0,1.0
Chucklefish,False,16.666,0.058,-1.3,0.84,1.878,0.0,2.36,2.156,3.8,3.66,0.527,4.0,1.0,2.236,0.0,1.6,2.51,1.0,833.6,611.35,976.0,0.0,5.0
Chucklefish,True,50.0,0.1,1.0,4.0,,4.0,4.5,,4.5,3.5,,3.5,1.0,,1.0,2.0,,2.0,981.0,,981.0,1.0,1.0
Clever Endeavour Games,True,20.69,0.3,0.0,3.5,,3.5,4.2,,4.2,4.2,,4.2,6.0,,6.0,29.0,,29.0,2032.0,,2032.0,1.0,1.0
Clickteam LLC USA,False,34.745,0.54,0.3,4.75,0.238,4.75,4.825,0.096,4.85,4.525,0.096,4.55,21.25,14.728,23.5,56.0,32.28,56.5,3611.25,1969.811,3265.5,0.0,4.0
Coatsink,False,0.0,0.0,1.7,0.0,,0.0,5.0,,5.0,3.3,,3.3,0.0,,0.0,1.0,,1.0,1296.0,,1296.0,0.0,1.0
Coatsink Software Ltd,False,0.0,0.0,-0.3,0.0,,0.0,2.3,,2.3,2.6,,2.6,0.0,,0.0,6.0,,6.0,2346.0,,2346.0,0.0,1.0
Cococucumber,False,45.835,0.075,0.7,4.0,1.414,4.0,4.75,0.354,4.75,4.05,0.354,4.05,1.5,0.707,1.5,3.5,0.707,3.5,3039.0,2961.363,3039.0,0.0,2.0
Codemasters,False,22.793,0.066,-1.365,1.853,2.029,1.0,2.553,2.134,3.9,3.918,0.366,4.0,1.176,2.834,1.0,3.235,7.529,1.0,1765.471,1221.529,1738.0,0.0,17.0
Codemasters,True,21.05,0.06,0.3,3.2,,3.2,2.8,,2.8,2.5,,2.5,4.0,,4.0,19.0,,19.0,6827.0,,6827.0,1.0,1.0
Codemasters Software Company Limited,False,6.667,0.02,-0.933,1.667,2.887,0.0,3.333,2.887,5.0,4.267,0.252,4.3,0.333,0.577,0.0,3.0,2.646,4.0,999.0,672.056,764.0,0.0,3.0
Coffee Stain Publishing,True,28.33,0.12,0.1,4.9,,4.9,4.6,,4.6,4.5,,4.5,17.0,,17.0,60.0,,60.0,14165.0,,14165.0,1.0,1.0
Coffee Stain Publishing ,False,20.83,0.15,0.3,4.4,,4.4,4.4,,4.4,4.1,,4.1,15.0,,15.0,72.0,,72.0,10065.0,,10065.0,0.0,1.0
Coffee Stain Publishing AB,True,29.81,0.47,0.1,4.5,0.283,4.5,4.55,0.212,4.55,4.45,0.071,4.45,11.5,6.364,11.5,42.5,31.82,42.5,2964.5,2567.505,2964.5,2.0,2.0
Cold Iron Studios ,True,30.56,0.13,0.5,3.4,0.0,3.4,3.7,0.0,3.7,3.2,0.0,3.2,11.0,0.0,11.0,36.0,0.0,36.0,8579.0,0.0,8579.0,4.0,4.0
ConcernedApe,True,34.44,0.25,-0.2,4.4,,4.4,4.5,,4.5,4.7,,4.7,31.0,,31.0,90.0,,90.0,12429.0,,12429.0,1.0,1.0
Craftshop Arts Inc.,True,41.67,0.27,1.4,3.4,,3.4,3.7,,3.7,2.3,,2.3,5.0,,5.0,12.0,,12.0,1833.0,,1833.0,1.0,1.0
Crescent Moon Games,False,0.0,0.0,-1.3,0.0,,0.0,1.0,,1.0,2.3,,2.3,0.0,,0.0,1.0,,1.0,6092.0,,6092.0,0.0,1.0
Crunching Koalas,False,0.0,0.0,1.8,0.0,,0.0,5.0,,5.0,3.2,,3.2,0.0,,0.0,1.0,,1.0,174.0,,174.0,0.0,1.0
Crystal Dynamics,False,30.145,0.31,0.15,4.55,0.354,4.55,4.5,0.283,4.5,4.35,0.495,4.35,8.5,3.536,8.5,30.5,19.092,30.5,16855.0,22403.971,16855.0,0.0,2.0
Crystal Dynamics,True,18.337,0.082,0.268,2.142,2.163,3.2,4.221,0.809,4.6,3.953,0.448,3.8,10.368,14.233,5.0,33.0,38.453,15.0,15072.526,23578.237,2121.0,19.0,19.0
Crytek,False,38.523,0.939,0.486,3.914,0.915,4.2,4.443,0.472,4.7,3.957,0.424,4.1,2.429,2.44,1.0,6.857,0.69,7.0,522.429,354.351,468.0,0.0,7.0
Curve Digital,False,26.316,0.061,-0.789,1.632,2.114,0.0,2.911,2.122,4.0,3.7,0.468,3.7,0.474,0.612,0.0,1.263,0.991,1.0,909.632,445.358,998.0,0.0,19.0
Curve Games,False,23.333,0.037,-0.9,1.417,2.245,0.0,2.55,2.109,3.15,3.45,0.543,3.45,0.5,0.837,0.0,1.833,1.941,1.5,1934.0,1032.8,2291.0,0.0,6.0
Curve Games,True,28.665,0.105,-0.05,4.3,0.99,4.3,4.1,0.707,4.1,4.15,0.212,4.15,6.5,2.121,6.5,23.5,3.536,23.5,7341.0,5316.029,7341.0,2.0,2.0
"Cyan Worlds, Inc.",False,0.0,0.0,1.4,0.0,,0.0,5.0,,5.0,3.6,,3.6,0.0,,0.0,3.0,,3.0,1717.0,,1717.0,0.0,1.0
CyberConnect2,False,100.0,0.09,0.9,5.0,,5.0,5.0,,5.0,4.1,,4.1,1.0,,1.0,1.0,,1.0,1115.0,,1115.0,0.0,1.0
D3 Publisher,False,0.0,0.0,0.8,0.0,,0.0,5.0,,5.0,4.2,,4.2,0.0,,0.0,6.0,,6.0,505.0,,505.0,0.0,1.0
"D3Publisher of America, Inc.",False,44.44,0.47,0.3,5.0,,5.0,4.7,,4.7,4.4,,4.4,4.0,,4.0,9.0,,9.0,859.0,,859.0,0.0,1.0
"D3Publisher, Inc.",False,0.0,0.0,1.2,0.0,,0.0,5.0,,5.0,3.8,,3.8,0.0,,0.0,1.0,,1.0,472.0,,472.0,0.0,1.0
DAEDALIC Entertainment GmbH,False,100.0,0.24,-0.1,4.5,,4.5,4.5,,4.5,4.6,,4.6,2.0,,2.0,2.0,,2.0,849.0,,849.0,0.0,1.0
DANGEN Entertainment,False,50.0,0.09,0.3,4.0,,4.0,4.5,,4.5,4.2,,4.2,1.0,,1.0,2.0,,2.0,1059.0,,1059.0,0.0,1.0
DECK13 Spotlight,False,0.0,0.0,0.7,0.0,,0.0,5.0,,5.0,4.3,,4.3,0.0,,0.0,1.0,,1.0,1195.0,,1195.0,0.0,1.0
DON'T NOD,True,13.41,7.86,-0.5,4.2,,4.2,3.5,,3.5,4.0,,4.0,151.0,,151.0,1126.0,,1126.0,1922.0,,1922.0,1.0,1.0
Daedalic Entertainment,False,0.0,0.0,-3.3,0.0,,0.0,0.0,,0.0,3.3,,3.3,0.0,,0.0,0.0,,0.0,345.0,,345.0,0.0,1.0
Daedalic Entertainment GmbH,False,0.0,0.0,-3.3,0.0,0.0,0.0,1.0,1.414,1.0,4.3,0.283,4.3,0.0,0.0,0.0,0.5,0.707,0.5,317.5,125.158,317.5,0.0,2.0
Dan Fornace,False,50.0,0.08,1.2,5.0,,5.0,5.0,,5.0,3.8,,3.8,2.0,,2.0,4.0,,4.0,2431.0,,2431.0,0.0,1.0
Daniel Mullins Games,False,0.0,0.0,-4.5,0.0,,0.0,0.0,,0.0,4.5,,4.5,0.0,,0.0,0.0,,0.0,41.0,,41.0,0.0,1.0
Dear Villagers,False,17.61,0.116,-2.178,1.356,1.972,0.0,1.467,1.797,0.0,3.644,0.702,4.0,4.222,10.497,0.0,7.667,11.864,0.0,1619.333,1413.565,894.0,0.0,9.0
Deck13 Spotlight,False,0.0,0.0,0.7,0.0,,0.0,5.0,,5.0,4.3,,4.3,0.0,,0.0,2.0,,2.0,3890.0,,3890.0,0.0,1.0
Deco Digital & Bevel Studios,False,100.0,0.03,1.0,4.5,,4.5,4.5,,4.5,3.5,,3.5,2.0,,2.0,2.0,,2.0,6919.0,,6919.0,0.0,1.0
"Decoy Games, LLC",False,0.0,0.0,-2.4,0.0,,0.0,0.0,,0.0,2.4,,2.4,0.0,,0.0,0.0,,0.0,338.0,,338.0,0.0,1.0
Deep Silver,False,36.068,0.166,0.175,2.275,1.831,3.0,3.906,1.197,4.25,3.731,0.648,3.9,5.188,8.833,2.0,22.75,47.404,3.0,2801.938,3581.491,819.0,0.0,16.0
Deep Silver,True,23.3,0.19,0.0,4.2,,4.2,4.1,,4.1,4.1,,4.1,24.0,,24.0,103.0,,103.0,12900.0,,12900.0,1.0,1.0
"Deep Silver, InXile Entertainment",True,33.33,0.03,0.4,3.0,,3.0,4.3,,4.3,3.9,,3.9,1.0,,1.0,3.0,,3.0,3190.0,,3190.0,1.0,1.0
"Deep Silver, Koch Media",False,42.86,0.28,0.5,4.3,,4.3,4.3,,4.3,3.8,,3.8,6.0,,6.0,14.0,,14.0,2119.0,,2119.0,0.0,1.0
Defiant Development,False,0.0,0.0,-3.7,0.0,,0.0,0.0,,0.0,3.7,,3.7,0.0,,0.0,0.0,,0.0,3282.0,,3282.0,0.0,1.0
Devolver Digital,False,10.941,0.014,-1.635,1.016,1.93,0.0,2.384,2.325,3.0,4.019,0.431,4.1,0.387,0.803,0.0,2.645,5.97,1.0,1732.387,1381.767,1322.0,0.0,31.0
Devolver Digital,True,41.51,0.217,-0.167,4.2,0.436,4.0,4.3,0.529,4.5,4.467,0.153,4.5,11.0,6.083,14.0,31.667,26.102,23.0,4833.333,950.253,4808.0,3.0,3.0
Digerati,False,25.0,0.058,0.65,1.0,2.0,0.0,3.775,1.115,3.9,3.125,0.797,3.05,0.25,0.5,0.0,2.5,1.915,2.0,435.25,90.82,430.5,0.0,4.0
Digerati Distribution,False,0.0,0.0,-4.0,0.0,,0.0,0.0,,0.0,4.0,,4.0,0.0,,0.0,0.0,,0.0,389.0,,389.0,0.0,1.0
Disney,False,0.0,0.0,-1.8,0.0,,0.0,2.0,,2.0,3.8,,3.8,0.0,,0.0,1.0,,1.0,317.0,,317.0,0.0,1.0
Disney Interactive,False,33.33,0.44,0.4,5.0,,5.0,4.8,,4.8,4.4,,4.4,3.0,,3.0,9.0,,9.0,677.0,,677.0,0.0,1.0
Disney Interactive Studios,False,30.412,0.17,0.258,3.823,1.952,4.8,4.527,0.968,4.7,4.269,0.285,4.2,2.692,1.784,3.0,8.077,4.849,9.5,1806.269,1405.203,1753.0,0.0,26.0
Distractionware Limited,False,0.0,0.0,1.0,0.0,,0.0,5.0,,5.0,4.0,,4.0,0.0,,0.0,1.0,,1.0,1432.0,,1432.0,0.0,1.0
Doborog Games,True,43.24,0.8,0.3,4.3,,4.3,4.4,,4.4,4.1,,4.1,32.0,,32.0,74.0,,74.0,4010.0,,4010.0,1.0,1.0
Dotemu,False,16.665,0.02,1.05,1.85,2.616,1.85,4.8,0.283,4.8,3.75,0.354,3.75,1.5,2.121,1.5,5.0,5.657,5.0,4437.5,5026.822,4437.5,0.0,2.0
Dotemu,True,5.28,2.435,0.05,4.5,0.707,4.5,4.3,0.566,4.3,4.25,0.495,4.25,36.0,48.083,36.0,739.0,995.606,739.0,5405.5,5603.821,5405.5,2.0,2.0
Double Dagger Studio,True,35.9,0.34,0.1,4.9,,4.9,4.7,,4.7,4.6,,4.6,28.0,,28.0,78.0,,78.0,8354.0,,8354.0,1.0,1.0
Double Damage Games Inc.,False,66.67,0.13,-0.3,3.5,,3.5,4.0,,4.0,4.3,,4.3,2.0,,2.0,3.0,,3.0,1552.0,,1552.0,0.0,1.0
Double Eleven Limited,False,0.0,0.0,0.3,0.0,0.0,0.0,4.2,0.0,4.2,3.9,0.0,3.9,0.0,0.0,0.0,5.0,0.0,5.0,4639.0,0.0,4639.0,0.0,4.0
Double Eleven Limited,True,12.5,0.01,0.7,5.0,0.0,5.0,4.8,0.0,4.8,4.1,0.0,4.1,2.0,0.0,2.0,16.0,0.0,16.0,23463.0,0.0,23463.0,4.0,4.0
Double Fine Productions,True,33.523,0.373,0.367,4.667,0.153,4.7,4.6,0.2,4.6,4.233,0.643,4.5,7.667,8.963,3.0,21.333,18.23,18.0,1707.333,1012.202,1684.0,3.0,3.0
"Double Fine Productions, Inc.",False,0.0,0.0,-3.9,0.0,,0.0,0.0,,0.0,3.9,,3.9,0.0,,0.0,0.0,,0.0,302.0,,302.0,0.0,1.0
"Double Fine Productions, Inc.",True,25.0,0.02,1.0,5.0,0.0,5.0,4.2,0.0,4.2,3.2,0.0,3.2,1.0,0.0,1.0,4.0,0.0,4.0,4778.0,0.0,4778.0,4.0,4.0
Dovetail Games,False,0.0,0.0,-2.567,0.0,0.0,0.0,1.0,1.673,0.0,3.567,0.383,3.65,0.0,0.0,0.0,0.333,0.516,0.0,342.833,365.7,265.5,0.0,6.0
DreadXP,True,23.81,0.64,0.2,4.3,,4.3,4.4,,4.4,4.2,,4.2,10.0,,10.0,42.0,,42.0,1574.0,,1574.0,1.0,1.0
DrinkBox Studios,False,0.0,0.0,1.1,0.0,0.0,0.0,5.0,0.0,5.0,3.9,0.0,3.9,0.0,0.0,0.0,4.0,0.0,4.0,11751.0,0.0,11751.0,0.0,4.0
Drinkbox Studios,False,0.0,0.0,-2.05,0.0,0.0,0.0,2.5,3.536,2.5,4.55,0.212,4.55,0.0,0.0,0.0,1.0,1.414,1.0,612.5,811.051,612.5,0.0,2.0
Drool LLC,False,0.0,0.0,-4.4,0.0,,0.0,0.0,,0.0,4.4,,4.4,0.0,,0.0,0.0,,0.0,247.0,,247.0,0.0,1.0
"E-Home Entertainment Development Co., Ltd",False,0.0,0.0,1.6,0.0,,0.0,5.0,,5.0,3.4,,3.4,0.0,,0.0,4.0,,4.0,2441.0,,2441.0,0.0,1.0
E-Line Media,False,0.0,0.0,0.8,0.0,,0.0,4.7,,4.7,3.9,,3.9,0.0,,0.0,3.0,,3.0,3860.0,,3860.0,0.0,1.0
EA SPORTS,False,0.0,0.0,0.2,0.0,0.0,0.0,4.3,0.0,4.3,4.1,0.0,4.1,0.0,0.0,0.0,3.0,0.0,3.0,1030.0,0.0,1030.0,0.0,4.0
EXOR Studios,False,20.0,0.06,0.1,2.0,,2.0,4.0,,4.0,3.9,,3.9,1.0,,1.0,5.0,,5.0,1665.0,,1665.0,0.0,1.0
Eastasiasoft Limited,False,0.0,0.0,-3.2,0.0,,0.0,0.0,,0.0,3.2,,3.2,0.0,,0.0,0.0,,0.0,34.0,,34.0,0.0,1.0
Eastshade Studios,False,0.0,0.0,-3.9,0.0,,0.0,0.0,,0.0,3.9,,3.9,0.0,,0.0,0.0,,0.0,1140.0,,1140.0,0.0,1.0
Eidos Interactive Corporation,False,22.58,0.09,0.3,5.0,,5.0,4.9,,4.9,4.6,,4.6,7.0,,7.0,31.0,,31.0,8149.0,,8149.0,0.0,1.0
Electronic Arts,False,24.652,1.153,-0.836,2.594,2.108,3.5,2.94,1.924,3.8,3.776,0.706,4.0,7.34,22.89,2.0,28.289,99.838,7.0,5961.381,8978.039,2662.0,0.0,97.0
Electronic Arts ,False,100.0,27.27,0.0,5.0,,5.0,5.0,,5.0,5.0,,5.0,3.0,,3.0,3.0,,3.0,11.0,,11.0,0.0,1.0
Electronic Arts Inc.,False,16.97,0.32,-1.9,2.3,3.253,2.3,2.1,2.97,2.1,4.0,0.283,4.0,18.5,26.163,18.5,54.5,77.075,54.5,3330.0,3473.309,3330.0,0.0,2.0
En Masse Entertainment Inc.,False,100.0,0.46,1.6,5.0,,5.0,5.0,,5.0,3.4,,3.4,1.0,,1.0,1.0,,1.0,216.0,,216.0,0.0,1.0
