publisher,has_gamepass_remediation,momentum_mean,discovery_capture_mean,quality_retention_mean,rating_7_days_avg_mean,rating_7_days_avg_std,rating_7_days_avg_median,rating_30_days_avg_mean,rating_30_days_avg_std,rating_30_days_avg_median,rating_alltime_avg_mean,rating_alltime_avg_std,rating_alltime_avg_median,rating_7_days_count_mean,rating_7_days_count_std,rating_7_days_count_median,rating_30_days_count_mean,rating_30_days_count_std,rating_30_days_count_median,rating_alltime_count_mean,rating_alltime_count_std,rating_alltime_count_median,has_gamepass_remediation_sum,title_count
Toplitz Productions,False,66.67,0.43,1.3,4.0,,4.0,4.3,,4.3,3.0,,3.0,2.0,,2.0,3.0,,3.0,465.0,,465.0,0.0,1.0
Toplitz Productions,True,34.34,0.36,0.0,3.7,,3.7,3.8,,3.8,3.8,,3.8,34.0,,34.0,99.0,,99.0,9499.0,,9499.0,1.0,1.0
Total Mayhem Games,False,66.67,0.14,-1.9,1.5,,1.5,1.3,,1.3,3.2,,3.2,2.0,,2.0,3.0,,3.0,1399.0,,1399.0,0.0,1.0
Trapped Nerve Games,False,100.0,0.08,0.8,5.0,,5.0,5.0,,5.0,4.2,,4.2,1.0,,1.0,1.0,,1.0,1232.0,,1232.0,0.0,1.0
Triangle Studios,False,0.0,0.0,-3.9,0.0,,0.0,0.0,,0.0,3.9,,3.9,0.0,,0.0,0.0,,0.0,233.0,,233.0,0.0,1.0
Tripwire Interactive LLC,False,35.48,0.09,0.2,4.9,,4.9,4.3,,4.3,4.1,,4.1,11.0,,11.0,31.0,,31.0,12497.0,,12497.0,0.0,1.0
Twin Sails Interactive,False,0.0,0.0,-3.65,0.0,0.0,0.0,0.0,0.0,0.0,3.65,0.212,3.65,0.0,0.0,0.0,0.0,0.0,0.0,2406.5,842.164,2406.5,0.0,2.0
UBISOFT,False,18.685,0.49,0.0,2.25,0.778,2.25,2.75,0.919,2.75,2.75,0.495,2.75,3.5,0.707,3.5,20.5,10.607,20.5,1591.5,1743.018,1591.5,0.0,2.0
UBISOFT,True,20.151,0.307,-1.129,2.043,1.642,3.0,2.214,1.527,3.0,3.343,0.483,3.5,7.429,8.619,3.0,33.143,39.625,12.0,4106.0,4928.902,407.0,7.0,7.0
UbiSoft,False,14.29,0.07,0.3,4.0,,4.0,4.3,,4.3,4.0,,4.0,1.0,,1.0,7.0,,7.0,1412.0,,1412.0,0.0,1.0
Ubisoft,False,16.48,0.087,-0.374,1.952,2.211,0.0,3.813,1.629,4.2,4.187,0.398,4.3,5.348,19.399,0.0,20.087,71.449,2.0,5002.522,16333.192,1012.0,0.0,23.0
Ubisoft,True,18.049,0.191,-0.26,2.839,1.742,3.4,3.629,0.968,3.8,3.889,0.554,4.05,7.629,8.231,4.0,33.229,28.916,23.0,20059.886,29075.615,5294.5,70.0,70.0
Ubisoft Entertainment,True,36.204,0.028,-0.744,1.933,1.867,2.6,2.322,0.854,2.1,3.067,0.566,2.8,3.889,7.322,3.0,13.444,28.333,4.0,8315.0,5995.972,13293.0,9.0,9.0
Unbound Creations,False,0.0,0.0,-4.4,0.0,,0.0,0.0,,0.0,4.4,,4.4,0.0,,0.0,0.0,,0.0,1594.0,,1594.0,0.0,1.0
Unknown Worlds Entertainment,False,25.0,0.08,0.3,4.7,,4.7,4.8,,4.8,4.5,,4.5,26.0,,26.0,104.0,,104.0,34183.0,,34183.0,0.0,1.0
"Unknown Worlds Entertainment, Inc.",False,21.43,0.05,0.2,4.7,,4.7,4.4,,4.4,4.2,,4.2,3.0,,3.0,14.0,,14.0,6122.0,,6122.0,0.0,1.0
Valve,False,30.77,0.15,0.1,5.0,,5.0,4.8,,4.8,4.7,,4.7,4.0,,4.0,13.0,,13.0,2610.0,,2610.0,0.0,1.0
Vector Unit,False,0.0,0.0,-0.1,0.0,,0.0,4.1,,4.1,4.2,,4.2,0.0,,0.0,7.0,,7.0,814.0,,814.0,0.0,1.0
Versus Evil,False,0.0,0.0,0.643,0.0,0.0,0.0,4.143,1.864,5.0,3.5,0.545,3.1,0.0,0.0,0.0,0.857,0.378,1.0,1977.143,1324.922,2969.0,0.0,7.0
Versus Evil,True,100.0,0.13,-0.7,3.0,,3.0,3.0,,3.0,3.7,,3.7,1.0,,1.0,1.0,,1.0,747.0,,747.0,1.0,1.0
"Versus Evil, LLC.",False,0.0,0.0,-2.7,0.0,,0.0,0.0,,0.0,2.7,,2.7,0.0,,0.0,0.0,,0.0,919.0,,919.0,0.0,1.0
Visai Games Inc,False,50.0,0.03,0.2,5.0,,5.0,4.5,,4.5,4.3,,4.3,1.0,,1.0,2.0,,2.0,3511.0,,3511.0,0.0,1.0
Vlambeer,False,50.0,0.15,1.3,5.0,,5.0,5.0,,5.0,3.7,,3.7,1.0,,1.0,2.0,,2.0,661.0,,661.0,0.0,1.0
"WB Games, Inc.",False,13.33,0.1,-0.8,2.0,0.0,2.0,3.1,0.0,3.1,3.9,0.0,3.9,2.0,0.0,2.0,15.0,0.0,15.0,1993.0,0.0,1993.0,0.0,4.0
Wadjet Eye Games,False,0.0,0.0,-4.6,0.0,,0.0,0.0,,0.0,4.6,,4.6,0.0,,0.0,0.0,,0.0,232.0,,232.0,0.0,1.0
Wales Interactive,False,0.0,0.0,-0.55,0.0,0.0,0.0,3.5,0.707,3.5,4.05,0.636,4.05,0.0,0.0,0.0,1.5,0.707,1.5,1551.0,435.578,1551.0,0.0,2.0
Warner Bros. Games,False,31.539,0.13,0.157,4.229,0.527,4.25,4.35,0.433,4.45,4.193,0.387,4.3,8.929,6.956,7.0,36.0,38.012,26.5,11807.571,13473.34,7186.5,0.0,14.0
Warner Bros. Games,True,21.81,0.19,-0.075,4.35,0.37,4.35,4.25,0.686,4.45,4.325,0.263,4.3,31.0,34.205,18.5,144.75,163.909,83.0,17155.25,13093.526,14351.5,4.0,4.0
Warner Bros. Interactive Entertainment,False,47.06,0.49,0.3,5.0,0.0,5.0,5.0,0.0,5.0,4.7,0.0,4.7,8.0,0.0,8.0,17.0,0.0,17.0,1639.0,0.0,1639.0,0.0,2.0
WayForward,False,11.111,0.024,-1.678,0.522,1.567,0.0,2.744,2.605,4.7,4.422,0.097,4.4,0.333,1.0,0.0,0.778,0.972,1.0,1754.444,266.804,1578.0,0.0,9.0
