publisher,momentum_mean,momentum_std,momentum_median,discovery_capture_mean,discovery_capture_std,discovery_capture_median,quality_retention_mean,quality_retention_std,quality_retention_median,rating_7_days_avg_mean,rating_7_days_avg_std,rating_7_days_avg_median,rating_30_days_avg_mean,rating_30_days_avg_std,rating_30_days_avg_median,rating_alltime_avg_mean,rating_alltime_avg_std,rating_alltime_avg_median,rating_7_days_count_mean,rating_7_days_count_std,rating_7_days_count_median,rating_30_days_count_mean,rating_30_days_count_std,rating_30_days_count_median,rating_alltime_count_mean,rating_alltime_count_std,rating_alltime_count_median,has_gamepass_remediation_sum,title_count
cdv Software Entertainment,33.33,,33.33,0.13,,0.13,0.8,,0.8,5.0,,5.0,5.0,,5.0,4.2,,4.2,1.0,,1.0,3.0,,3.0,759.0,,759.0,0.0,1.0
"iam8bit, Inc.",0.0,,0.0,0.0,,0.0,-4.1,,-4.1,0.0,,0.0,0.0,,0.0,4.1,,4.1,0.0,,0.0,0.0,,0.0,3079.0,,3079.0,0.0,1.0
"inXile entertainment, Inc. ",0.0,,0.0,0.0,,0.0,-3.9,,-3.9,0.0,,0.0,0.0,,0.0,3.9,,3.9,0.0,,0.0,0.0,,0.0,606.0,,606.0,1.0,1.0
"inXile entertainment, inc. ",66.67,,66.67,0.19,,0.19,-0.3,,-0.3,3.5,,3.5,3.0,,3.0,3.3,,3.3,2.0,,2.0,3.0,,3.0,1027.0,,1027.0,1.0,1.0
indie.io,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,3.11,-1.0,0.0,0.0,0.0,2.5,3.54,2.5,3.5,0.42,3.5,0.0,0.0,0.0,0.5,0.71,0.5,931.0,439.82,931.0,0.0,2.0
"nWay, Inc",36.36,,36.36,0.38,,0.38,-0.3,,-0.3,2.2,,2.2,2.5,,2.5,2.8,,2.8,12.0,,12.0,33.0,,33.0,3173.0,,3173.0,0.0,1.0
straka.studio s.r.o.,0.0,,0.0,0.0,,0.0,-2.8,,-2.8,0.0,,0.0,0.0,,0.0,2.8,,2.8,0.0,,0.0,0.0,,0.0,874.0,,874.0,0.0,1.0
tinyBuild,14.06,26.06,0.0,0.28,1.08,0.0,-1.09,2.16,-0.25,1.43,2.02,0.0,2.59,2.22,3.55,3.68,0.65,3.75,2.5,6.44,0.0,38.94,137.55,1.0,2321.0,1794.42,2145.5,1.0,18.0
tinyBuild GAMES,0.0,,0.0,0.0,,0.0,-3.8,,-3.8,0.0,,0.0,0.0,,0.0,3.8,,3.8,0.0,,0.0,0.0,,0.0,2337.0,,2337.0,0.0,1.0
unidevstudio,0.0,,0.0,0.0,,0.0,-3.9,,-3.9,0.0,,0.0,0.0,,0.0,3.9,,3.9,0.0,,0.0,0.0,,0.0,479.0,,479.0,0.0,1.0
株式会社 カプコン,0.0,,0.0,0.0,,0.0,1.4,,1.4,0.0,,0.0,5.0,,5.0,3.6,,3.6,0.0,,0.0,1.0,,1.0,241.0,,241.0,0.0,1.0
