publisher,momentum_mean,momentum_std,momentum_median,discovery_capture_mean,discovery_capture_std,discovery_capture_median,quality_retention_mean,quality_retention_std,quality_retention_median,rating_7_days_avg_mean,rating_7_days_avg_std,rating_7_days_avg_median,rating_30_days_avg_mean,rating_30_days_avg_std,rating_30_days_avg_median,rating_alltime_avg_mean,rating_alltime_avg_std,rating_alltime_avg_median,rating_7_days_count_mean,rating_7_days_count_std,rating_7_days_count_median,rating_30_days_count_mean,rating_30_days_count_std,rating_30_days_count_median,rating_alltime_count_mean,rating_alltime_count_std,rating_alltime_count_median,has_gamepass_remediation_sum,title_count
THQ,37.65,29.2,50.0,0.25,0.31,0.17,-0.57,2.23,0.5,3.53,2.41,5.0,3.41,2.35,4.7,3.99,0.29,3.9,1.43,1.27,1.0,2.86,2.61,2.0,808.57,343.32,879.0,2.0,7.0
THQ Inc.,33.34,47.14,33.34,0.12,0.18,0.12,0.15,0.92,0.15,2.25,3.18,2.25,4.1,0.85,4.1,3.95,0.07,3.95,1.0,1.41,1.0,2.5,0.71,2.5,837.0,63.64,837.0,0.0,2.0
THQ Nordic,6.79,17.06,0.0,0.02,0.06,0.0,-0.91,2.1,0.1,0.71,1.75,0.0,2.85,2.13,3.6,3.77,0.5,3.8,0.63,2.36,0.0,3.67,6.12,1.0,1266.0,1404.45,864.0,1.0,27.0
THQ Nordic GmbH,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.0,4.3,0.0,4.3,4.2,0.0,4.2,0.0,0.0,0.0,6.0,0.0,6.0,5224.0,0.0,5224.0,0.0,2.0
"THQ, Inc.",0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.0,0.0,4.8,0.0,4.8,4.5,0.0,4.5,0.0,0.0,0.0,4.0,0.0,4.0,860.0,0.0,860.0,4.0,4.0
Tactical Adventures,0.0,,0.0,0.0,,0.0,0.3,,0.3,0.0,,0.0,4.0,,4.0,3.7,,3.7,0.0,,0.0,1.0,,1.0,3219.0,,3219.0,0.0,1.0
TaleWorlds Entertainment,22.88,10.06,22.88,0.31,0.36,0.31,0.1,0.71,0.1,4.0,0.99,4.0,4.2,0.99,4.2,4.1,0.28,4.1,29.5,37.48,29.5,182.5,243.95,182.5,7938.0,2941.56,7938.0,1.0,2.0
Team Cherry,25.26,,25.26,0.38,,0.38,0.0,,0.0,4.6,,4.6,4.7,,4.7,4.7,,4.7,97.0,,97.0,384.0,,384.0,25201.0,,25201.0,1.0,1.0
Team Reptile,0.0,,0.0,0.0,,0.0,1.1,,1.1,0.0,,0.0,5.0,,5.0,3.9,,3.9,0.0,,0.0,2.0,,2.0,767.0,,767.0,0.0,1.0
Team17,21.01,27.52,10.0,0.06,0.08,0.04,-1.14,1.59,-0.85,0.92,1.44,0.5,2.51,1.45,2.7,3.65,0.49,3.7,3.31,11.39,0.5,11.0,34.43,3.0,1869.19,4316.81,1135.0,3.0,16.0
Team17 ,0.0,,0.0,0.0,,0.0,0.8,,0.8,0.0,,0.0,5.0,,5.0,4.2,,4.2,0.0,,0.0,1.0,,1.0,1107.0,,1107.0,0.0,1.0
Team17 Digital Ltd,15.54,22.3,0.0,0.03,0.05,0.0,-0.64,0.82,-0.7,0.76,1.48,0.0,3.56,0.9,3.5,4.19,0.37,4.0,0.53,1.01,0.0,3.47,2.74,4.0,1493.29,454.18,1525.0,2.0,17.0
Team17 Digital Ltd.,17.69,31.16,0.0,0.03,0.06,0.0,-1.07,1.54,-1.5,1.47,2.26,0.0,2.85,1.73,3.0,3.91,0.47,3.8,0.47,0.74,0.0,2.33,3.06,2.0,4706.33,5055.04,1424.0,1.0,15.0
Tecmo,4.76,8.25,0.0,0.04,0.08,0.0,0.1,0.52,0.4,1.67,2.89,0.0,4.77,0.4,5.0,4.67,0.12,4.6,1.0,1.73,0.0,13.67,6.35,10.0,1657.0,583.7,1320.0,0.0,3.0
Tecmo Koei America,0.0,,0.0,0.0,,0.0,-3.2,,-3.2,0.0,,0.0,0.0,,0.0,3.2,,3.2,0.0,,0.0,0.0,,0.0,131.0,,131.0,0.0,1.0
Telltale,55.26,42.35,50.0,0.1,0.05,0.12,0.37,0.15,0.4,4.83,0.29,5.0,4.9,0.1,4.9,4.53,0.21,4.6,3.0,2.65,2.0,14.33,20.55,4.0,5256.0,7063.74,1649.0,0.0,3.0
Telltale Games,31.66,25.93,31.66,0.09,0.06,0.09,0.45,0.49,0.45,4.5,0.71,4.5,4.55,0.07,4.55,4.1,0.42,4.1,1.5,0.71,1.5,8.5,9.19,8.5,1672.5,218.5,1672.5,0.0,2.0
Terrible Toybox,66.67,,66.67,0.16,,0.16,-0.4,,-0.4,4.5,,4.5,4.3,,4.3,4.7,,4.7,2.0,,2.0,3.0,,3.0,1219.0,,1219.0,0.0,1.0
The Arcade Crew,25.0,35.36,25.0,0.1,0.13,0.1,-2.25,2.47,-2.25,1.0,1.41,1.0,1.75,2.47,1.75,4.0,0.0,4.0,1.0,1.41,1.0,2.0,2.83,2.0,973.5,94.05,973.5,0.0,2.0
The Fun Pimps Entertainment LLC.,25.0,,25.0,0.07,,0.07,0.9,,0.9,5.0,,5.0,5.0,,5.0,4.1,,4.1,1.0,,1.0,4.0,,4.0,1398.0,,1398.0,0.0,1.0
The Game Bakers,37.5,17.68,37.5,0.11,0.11,0.11,-0.9,0.85,-0.9,3.0,2.83,3.0,3.6,0.85,3.6,4.5,0.0,4.5,1.0,0.0,1.0,3.0,1.41,3.0,1830.5,1851.91,1830.5,0.0,2.0
The Quantum Astrophysicists Guild,0.0,0.0,0.0,0.0,0.0,0.0,-0.6,2.69,-0.6,0.0,0.0,0.0,2.5,3.54,2.5,3.1,0.85,3.1,0.0,0.0,0.0,0.5,0.71,0.5,2233.0,2199.1,2233.0,0.0,2.0
The Voxel Agents,0.0,,0.0,0.0,,0.0,-4.5,,-4.5,0.0,,0.0,0.0,,0.0,4.5,,4.5,0.0,,0.0,0.0,,0.0,10358.0,,10358.0,0.0,1.0
"Thekla, Inc.",50.0,,50.0,0.05,,0.05,-0.1,,-0.1,5.0,,5.0,3.5,,3.5,3.6,,3.6,1.0,,1.0,2.0,,2.0,2005.0,,2005.0,0.0,1.0
